Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 215, Row: 13, Price: $11.00, Est. Price: $15.40, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-2-27-2025--sports-nba-basketball/production/5159899?showDetails=VB10452533906&groupId=&qty=2
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 209, Row: 8, Price: $11.00, Est. Price: $15.40, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-2-27-2025--sports-nba-basketball/production/5159899?showDetails=VB10452543752&groupId=&qty=2
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 231, Row: 10, Price: $11.00, Est. Price: $15.40, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-2-27-2025--sports-nba-basketball/production/5159899?showDetails=VB11366959869&groupId=&qty=1
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 232, Row: 12, Price: $11.00, Est. Price: $15.40, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-2-27-2025--sports-nba-basketball/production/5159899?showDetails=VB11661573920&groupId=&qty=2
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 223, Row: 9, Price: $11.00, Est. Price: $15.40, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-2-27-2025--sports-nba-basketball/production/5159899?showDetails=VB11660352418&groupId=&qty=2
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 224, Row: 9, Price: $11.00, Est. Price: $15.40, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-2-27-2025--sports-nba-basketball/production/5159899?showDetails=VB11673575281&groupId=&qty=1
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 224, Row: 6, Price: $11.00, Est. Price: $15.40, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-2-27-2025--sports-nba-basketball/production/5159899?showDetails=VB11563428467&groupId=&qty=2
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 212, Row: 9, Price: $12.00, Est. Price: $16.80, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-2-27-2025--sports-nba-basketball/production/5159899?showDetails=VB11366959872&groupId=&qty=1
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 231, Row: 14, Price: $12.00, Est. Price: $16.80, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-2-27-2025--sports-nba-basketball/production/5159899?showDetails=VB11495005585&groupId=&qty=1
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 211, Row: 8, Price: $12.00, Est. Price: $16.80, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-2-27-2025--sports-nba-basketball/production/5159899?showDetails=VB11495005573&groupId=&qty=1
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 210, Row: 4, Price: $12.00, Est. Price: $16.80, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-2-27-2025--sports-nba-basketball/production/5159899?showDetails=VB11486074269&groupId=&qty=1
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 232, Row: 7, Price: $12.00, Est. Price: $16.80, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-2-27-2025--sports-nba-basketball/production/5159899?showDetails=VB11495005566&groupId=&qty=1
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 231, Row: 10, Price: $12.00, Est. Price: $16.80, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-2-27-2025--sports-nba-basketball/production/5159899?showDetails=VB11495005594&groupId=&qty=1
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 228, Row: 11, Price: $12.00, Est. Price: $16.80, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-2-27-2025--sports-nba-basketball/production/5159899?showDetails=VB10452543738&groupId=&qty=1
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 226, Row: 11, Price: $12.00, Est. Price: $16.80, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-2-27-2025--sports-nba-basketball/production/5159899?showDetails=VB10452543737&groupId=&qty=1
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 212, Row: 10, Price: $12.00, Est. Price: $16.80, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-2-27-2025--sports-nba-basketball/production/5159899?showDetails=VB10452543723&groupId=&qty=1
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 224, Row: 4, Price: $12.00, Est. Price: $16.80, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-2-27-2025--sports-nba-basketball/production/5159899?showDetails=VB10403413661&groupId=&qty=1
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 210, Row: 7, Price: $13.00, Est. Price: $18.20, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-2-27-2025--sports-nba-basketball/production/5159899?showDetails=VB11436150105&groupId=&qty=2
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 228, Row: 6, Price: $13.00, Est. Price: $18.20, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-2-27-2025--sports-nba-basketball/production/5159899?showDetails=VB11436149334&groupId=&qty=1
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 213, Row: 6, Price: $13.00, Est. Price: $18.20, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-2-27-2025--sports-nba-basketball/production/5159899?showDetails=VB11436151317&groupId=&qty=2
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 224, Row: 5, Price: $13.00, Est. Price: $18.20, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-2-27-2025--sports-nba-basketball/production/5159899?showDetails=VB11495005558&groupId=&qty=1
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 230, Row: 6, Price: $13.00, Est. Price: $18.20, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-2-27-2025--sports-nba-basketball/production/5159899?showDetails=VB11478004543&groupId=&qty=1
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 226, Row: 8, Price: $13.00, Est. Price: $18.20, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-2-27-2025--sports-nba-basketball/production/5159899?showDetails=VB11495005588&groupId=&qty=1
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 224, Row: 5, Price: $13.00, Est. Price: $18.20, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-2-27-2025--sports-nba-basketball/production/5159899?showDetails=VB11495005580&groupId=&qty=1
