Section: 226, Row: 9, Price: $42 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 212, Row: 9, Price: $42 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 118, Row: 14, Price: $134 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 220, Row: 12, Price: $58 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 222, Row: 8, Price: $64 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 232, Row: 6, Price: $63 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 221, Row: 6, Price: $67 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 204, Row: 11, Price: $61 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 222, Row: 14, Price: $48 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 223, Row: 7, Price: $58 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 213, Row: 12, Price: $43 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 224, Row: 12, Price: $45 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 226, Row: 12, Price: $38 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 228, Row: 12, Price: $38 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 201, Row: 8, Price: $64 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 217, Row: 8, Price: $64 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 205, Row: 8, Price: $64 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 223, Row: 14, Price: $45 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 231, Row: 14, Price: $45 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 215, Row: 14, Price: $45 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 209, Row: 12, Price: $42 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 210, Row: 10, Price: $42 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 230, Row: 14, Price: $42 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 215, Row: 5, Price: $63 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 230, Row: 9, Price: $52 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 224, Row: 9, Price: $52 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 215, Row: 10, Price: $54 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 223, Row: 7, Price: $60 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 206, Row: 8, Price: $62 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
