Section: 224, Row: 6, Price: $24.00, Est. Price: $33.60, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB10452358357&groupId=&qty=2
Section: 217, Row: 14, Price: $24.00, Est. Price: $33.60, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB11394747951&groupId=&qty=2
Section: 228, Row: 6, Price: $24.00, Est. Price: $33.60, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB11394747953&groupId=&qty=2
Section: 228, Row: 5, Price: $24.00, Est. Price: $33.60, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB11349402098&groupId=&qty=2
Section: 210, Row: 5, Price: $24.00, Est. Price: $33.60, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB11349402461&groupId=&qty=2
Section: 225, Row: 13, Price: $24.00, Est. Price: $33.60, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB10403436127&groupId=&qty=2
Section: 218, Row: 8, Price: $24.00, Est. Price: $33.60, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB10839065720&groupId=&qty=2
Section: 232, Row: 14, Price: $24.00, Est. Price: $33.60, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB11219839665&groupId=&qty=2
Section: 217, Row: 13, Price: $24.00, Est. Price: $33.60, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB11386872561&groupId=&qty=2
Section: 229, Row: 12, Price: $24.00, Est. Price: $33.60, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB11386872418&groupId=&qty=2
Section: 224, Row: 15, Price: $24.00, Est. Price: $33.60, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB10403406868&groupId=&qty=2
Section: 227, Row: 14, Price: $24.00, Est. Price: $33.60, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB10403486835&groupId=&qty=2
Section: 226, Row: 12, Price: $24.00, Est. Price: $33.60, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB10403480491&groupId=&qty=2
Section: 229, Row: 7, Price: $24.00, Est. Price: $33.60, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB10403435617&groupId=&qty=2
Section: 202, Row: 7, Price: $25.00, Est. Price: $35.00, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB11183466308&groupId=&qty=2
Section: 212, Row: 7, Price: $25.00, Est. Price: $35.00, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB11183466275&groupId=&qty=2
Section: 231, Row: 14, Price: $25.00, Est. Price: $35.00, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB11183465723&groupId=&qty=2
Section: 221, Row: 5, Price: $25.00, Est. Price: $35.00, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB11349349565&groupId=&qty=2
Section: 211, Row: 6, Price: $25.00, Est. Price: $35.00, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB11386872421&groupId=&qty=2
Section: 211, Row: 10, Price: $25.00, Est. Price: $35.00, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB10675173798&groupId=&qty=2
Section: 218, Row: 12, Price: $25.00, Est. Price: $35.00, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB11386872443&groupId=&qty=2
Section: 226, Row: 11, Price: $25.00, Est. Price: $35.00, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB10452359985&groupId=&qty=2
Section: 226, Row: 5, Price: $25.00, Est. Price: $35.00, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB11323142895&groupId=&qty=2
Section: 212, Row: 4, Price: $25.00, Est. Price: $35.00, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB11323142963&groupId=&qty=2
Section: 231, Row: 10, Price: $25.00, Est. Price: $35.00, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB10397860015&groupId=&qty=2
Section: 230, Row: 4, Price: $25.00, Est. Price: $35.00, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB11204054581&groupId=&qty=2
Section: 217, Row: 8, Price: $25.00, Est. Price: $35.00, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB11386872459&groupId=&qty=2
Section: 204, Row: 11, Price: $25.00, Est. Price: $35.00, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB11359585829&groupId=&qty=2
Section: 229, Row: 12, Price: $25.00, Est. Price: $35.00, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB11386872423&groupId=&qty=2
Section: 217, Row: 14, Price: $25.00, Est. Price: $35.00, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB10452359989&groupId=&qty=2
Section: 201, Row: 9, Price: $25.00, Est. Price: $35.00, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB10452359967&groupId=&qty=2
Section: 224, Row: 14, Price: $26.00, Est. Price: $36.40, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB11183465726&groupId=&qty=2
Section: 220, Row: 5, Price: $26.00, Est. Price: $36.40, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB11183466320&groupId=&qty=2
Section: 206, Row: 12, Price: $26.00, Est. Price: $36.40, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB11218564314&groupId=&qty=2
Section: 212, Row: 3, Price: $26.00, Est. Price: $36.40, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB11349349573&groupId=&qty=2
Section: 215, Row: 6, Price: $26.00, Est. Price: $36.40, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB11386872566&groupId=&qty=2
Section: 210, Row: 11, Price: $26.00, Est. Price: $36.40, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB10403480493&groupId=&qty=2
Section: 205, Row: 9, Price: $26.00, Est. Price: $36.40, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB11386872528&groupId=&qty=2
Section: 224, Row: 10, Price: $26.00, Est. Price: $36.40, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB10593137227&groupId=&qty=2
Section: 210, Row: 9, Price: $26.00, Est. Price: $36.40, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB10724807595&groupId=&qty=2
Section: 228, Row: 4, Price: $26.00, Est. Price: $36.40, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB10593137119&groupId=&qty=2
