Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 227, Row: 7, Price: $23, Est. Price: $41.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=8491548853
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 223, Row: 13, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=7810548364
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 215, Row: 8, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=8410977044
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 224, Row: 6, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=8276058115
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 226, Row: 13, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=8354750218
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 227, Row: 10, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=8454509184
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 209, Row: 9, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=8456061321
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 227, Row: 9, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=8386083890
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 225, Row: 12, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=8287054459
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 215, Row: 5, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=8454509130
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 210, Row: 2, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=8289924308
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 228, Row: 3, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=8454508707
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 206, Row: 7, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=8491554945
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 223, Row: 11, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=8200987720
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 209, Row: 14, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=8645227670
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 210, Row: 14, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=8618604862
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 211, Row: 7, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=8385785105
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 202, Row: 11, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=8618434924
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 205, Row: 8, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=8618438288
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 205, Row: 10, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=8402589928
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 221, Row: 9, Price: $30, Est. Price: $48.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=7804454556
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 216, Row: 14, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=7801900254
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 206, Row: 6, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=8632344670
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 217, Row: 11, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=7810529128
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 215, Row: 12, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=7801900318
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 224, Row: 12, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=7801900264
