Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 226, Row: 6, Price: $22.00, Est. Price: $30.80, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB11779393022&groupId=&qty=2
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 212, Row: 9, Price: $23.00, Est. Price: $32.20, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB11366982865&groupId=&qty=2
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 230, Row: 14, Price: $25.00, Est. Price: $35.00, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB11536378681&groupId=&qty=2
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 211, Row: 10, Price: $25.00, Est. Price: $35.00, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB11653951625&groupId=&qty=2
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 211, Row: 14, Price: $32.00, Est. Price: $44.80, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB11782300914&groupId=&qty=2
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 211, Row: 12, Price: $32.00, Est. Price: $44.80, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB10369953011&groupId=&qty=2
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 230, Row: 8, Price: $32.00, Est. Price: $44.80, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB10397860000&groupId=&qty=2
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 226, Row: 14, Price: $32.00, Est. Price: $44.80, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB10369952697&groupId=&qty=2
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 228, Row: 12, Price: $32.00, Est. Price: $44.80, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB11769383585&groupId=&qty=2
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 226, Row: 12, Price: $32.00, Est. Price: $44.80, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB11164402795&groupId=&qty=2
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 226, Row: 12, Price: $32.00, Est. Price: $44.80, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB11756727604&groupId=&qty=2
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 210, Row: 12, Price: $32.00, Est. Price: $44.80, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB10369952875&groupId=&qty=2
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 224, Row: 6, Price: $32.00, Est. Price: $44.80, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB11599467978&groupId=&qty=2
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 212, Row: 13, Price: $32.00, Est. Price: $44.80, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB11665127437&groupId=&qty=2
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 210, Row: 10, Price: $32.00, Est. Price: $44.80, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB10375522348&groupId=&qty=2
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 229, Row: 14, Price: $32.00, Est. Price: $44.80, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB11665124251&groupId=&qty=2
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 209, Row: 12, Price: $32.00, Est. Price: $44.80, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB10369952768&groupId=&qty=2
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 224, Row: 9, Price: $33.00, Est. Price: $46.20, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB11713206057&groupId=&qty=2
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 201, Row: 5, Price: $33.00, Est. Price: $46.20, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB11628224629&groupId=&qty=2
