Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 303, Row: 5, Price: $49, Est. Price: $78.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8828182336
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 328, Row: 11, Price: $49, Est. Price: $78.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8811072428
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 309, Row: 19, Price: $50, Est. Price: $80.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8855809271
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 302, Row: 5, Price: $50, Est. Price: $80.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8828066274
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 324, Row: 17, Price: $50, Est. Price: $80.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8829960162
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 314, Row: 17, Price: $51, Est. Price: $81.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8858813292
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 315, Row: 17, Price: $51, Est. Price: $81.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8868578617
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 304, Row: 9, Price: $51, Est. Price: $81.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8798890223
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 306, Row: 20, Price: $51, Est. Price: $81.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8829778743
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 323, Row: 22, Price: $51, Est. Price: $81.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8855642423
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 325, Row: 18, Price: $51, Est. Price: $81.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8874113229
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 326, Row: 17, Price: $51, Est. Price: $81.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8851289942
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 327, Row: 16, Price: $51, Est. Price: $81.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8829823382
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 318, Row: 16, Price: $52, Est. Price: $83.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8830694180
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 331, Row: 6, Price: $52, Est. Price: $83.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8808378147
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 315, Row: 16, Price: $53, Est. Price: $84.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8868594528
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 306, Row: 16, Price: $54, Est. Price: $86.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8788521705
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 330, Row: 5, Price: $54, Est. Price: $86.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8799653482
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 305, Row: 2, Price: $55, Est. Price: $88.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8858814812
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 310, Row: 20, Price: $55, Est. Price: $88.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8830889823
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 315, Row: 14, Price: $55, Est. Price: $88.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8838469028
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 320, Row: 17, Price: $55, Est. Price: $88.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8831707793
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 321, Row: 17, Price: $55, Est. Price: $88.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8856727717
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 319, Row: 19, Price: $55, Est. Price: $88.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8831895907
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 316, Row: 24, Price: $55, Est. Price: $88.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8834432917
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 103, Row: 33, Price: $56, Est. Price: $89.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8855247675
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 106, Row: 37, Price: $56, Est. Price: $89.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8867884700
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 317, Row: 21, Price: $56, Est. Price: $89.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8830489271
