Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 225, Row: 11, Price: $16, Est. Price: $28.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=7805657546
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 227, Row: 6, Price: $18, Est. Price: $32.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=8442553116
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 213, Row: 6, Price: $18, Est. Price: $32.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=8422691067
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 222, Row: 7, Price: $19, Est. Price: $34.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=8417752309
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 232, Row: 13, Price: $21, Est. Price: $37.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=8654830936
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 232, Row: 14, Price: $21, Est. Price: $37.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=8653534690
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 225, Row: 8, Price: $21, Est. Price: $37.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=7805657626
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 219, Row: 13, Price: $23, Est. Price: $41.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=8403945299
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 220, Row: 11, Price: $23, Est. Price: $41.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=8675971780
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 232, Row: 9, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=7805657837
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 228, Row: 2, Price: $26, Est. Price: $41.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=8697621791
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 232, Row: 6, Price: $26, Est. Price: $41.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=8531532930
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 202, Row: 5, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=8642651530
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 216, Row: 6, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=8336733061
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 207, Row: 8, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=7805657868
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 217, Row: 6, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=8336738073
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 203, Row: 13, Price: $36, Est. Price: $57.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=7936934145
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 203, Row: 14, Price: $36, Est. Price: $57.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=8336738037
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 230, Row: 2, Price: $37, Est. Price: $59.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=8406612231
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 219, Row: 12, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=8587000355
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 224, Row: 1, Price: $39, Est. Price: $62.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=8449130495
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 223, Row: 1, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=8618210014
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 218, Row: 8, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=7804326264
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 108, Row: 24, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=8639555165
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 107, Row: 28, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=8639555134
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 109, Row: 26, Price: $44, Est. Price: $70.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=7800515257
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 205, Row: 7, Price: $44, Est. Price: $70.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=8648581275
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 215, Row: 4, Price: $44, Est. Price: $70.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=8005180873
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 108, Row: 22, Price: $45, Est. Price: $72.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=8639555168
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 204, Row: 9, Price: $45, Est. Price: $72.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=8501714573
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 205, Row: 1, Price: $46, Est. Price: $73.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=7815064791
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 107, Row: 21, Price: $46, Est. Price: $73.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=7847224968
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 108, Row: 19, Price: $48, Est. Price: $76.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=8639555151
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 228, Row: 1, Price: $48, Est. Price: $76.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=7799723192
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 215, Row: 1, Price: $48, Est. Price: $76.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=7808133985
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 110, Row: 24, Price: $50, Est. Price: $80.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=8661343030
