Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 215, Row: 6, Price: $14, Est. Price: $25.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7809314682
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 215, Row: 8, Price: $14, Est. Price: $25.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8410977152
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 211, Row: 6, Price: $14, Est. Price: $25.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7809314255
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 226, Row: 12, Price: $14, Est. Price: $25.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7814378809
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 204, Row: 11, Price: $15, Est. Price: $27.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7897531521
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 223, Row: 4, Price: $15, Est. Price: $27.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7937360029
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 201, Row: 9, Price: $15, Est. Price: $27.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7842831567
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 217, Row: 14, Price: $15, Est. Price: $27.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7842831627
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 228, Row: 3, Price: $14, Est. Price: $25.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8454508708
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 218, Row: 10, Price: $15, Est. Price: $27.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8550737240
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 228, Row: 5, Price: $15, Est. Price: $27.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7809313298
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 230, Row: 5, Price: $15, Est. Price: $27.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7809314429
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 210, Row: 9, Price: $15, Est. Price: $27.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7818205410
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 230, Row: 6, Price: $15, Est. Price: $27.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7809313596
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 210, Row: 8, Price: $15, Est. Price: $27.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8244527952
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 202, Row: 14, Price: $16, Est. Price: $28.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8449129562
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 206, Row: 12, Price: $16, Est. Price: $28.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8443554697
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 217, Row: 13, Price: $16, Est. Price: $28.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8449129688
