Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 210, Row: 10, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=7804326243
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 210, Row: 2, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=8289924312
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 232, Row: 12, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=8656100310
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 232, Row: 13, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=8706122976
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 222, Row: 13, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=7801925611
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 231, Row: 12, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=8677954056
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 224, Row: 12, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=7801925557
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 230, Row: 10, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=7801925583
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 206, Row: 13, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=8593802453
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 206, Row: 14, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=7801925549
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 216, Row: 14, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=7801925552
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 215, Row: 12, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=7801925617
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 211, Row: 6, Price: $30, Est. Price: $48.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=7809314266
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 228, Row: 10, Price: $30, Est. Price: $48.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=8386318497
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 226, Row: 11, Price: $30, Est. Price: $48.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=8223587175
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 213, Row: 8, Price: $30, Est. Price: $48.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=7824150940
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 205, Row: 9, Price: $32, Est. Price: $51.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=8618445763
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 217, Row: 14, Price: $32, Est. Price: $51.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=8519555782
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 222, Row: 14, Price: $32, Est. Price: $51.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=7843469165
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 225, Row: 11, Price: $32, Est. Price: $51.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=7801925561
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 212, Row: 11, Price: $32, Est. Price: $51.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=7814378796
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 213, Row: 11, Price: $32, Est. Price: $51.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=8595691700
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 209, Row: 11, Price: $32, Est. Price: $51.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=8632177650
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 209, Row: 13, Price: $32, Est. Price: $51.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=7804326061
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 230, Row: 6, Price: $32, Est. Price: $51.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=7809314415
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 215, Row: 5, Price: $33, Est. Price: $52.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=7809314115
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 215, Row: 11, Price: $33, Est. Price: $52.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-14-2025/event/154770121/?quantity=2&listingId=8679171156
