Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 203, Row: 13, Price: $74, Est. Price: $107.3, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8867328224
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 203, Row: 14, Price: $74, Est. Price: $107.3, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8867328141
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 204, Row: 8, Price: $74, Est. Price: $107.3, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8867326441
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 205, Row: 8, Price: $74, Est. Price: $107.3, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8867326767
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 206, Row: 6, Price: $74, Est. Price: $107.3, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8865858671
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 218, Row: 8, Price: $74, Est. Price: $107.3, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8867328776
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 204, Row: 10, Price: $74, Est. Price: $107.3, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8865859973
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 204, Row: 11, Price: $74, Est. Price: $107.3, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8865859682
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 205, Row: 9, Price: $74, Est. Price: $107.3, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8867326854
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 217, Row: 8, Price: $74, Est. Price: $107.3, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8867328264
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 218, Row: 10, Price: $74, Est. Price: $107.3, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8868620584
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 220, Row: 11, Price: $74, Est. Price: $107.3, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8865858952
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 220, Row: 12, Price: $74, Est. Price: $107.3, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8865858955
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 202, Row: 11, Price: $74, Est. Price: $107.3, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8867326950
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 202, Row: 12, Price: $74, Est. Price: $107.3, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8867327063
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 202, Row: 13, Price: $74, Est. Price: $107.3, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8867327150
