Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 329, Row: 11, Price: $54.00, Est. Price: $54.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-30-2025-phoenix-az-chase-field/events/66a15ed7b0cc2cb65c53b16c/listings/67c4b616dec8018c769c71ad?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 328, Row: 13, Price: $54.00, Est. Price: $54.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-30-2025-phoenix-az-chase-field/events/66a15ed7b0cc2cb65c53b16c/listings/67c2be45dec8018c76f45d42?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 306, Row: 13, Price: $55.00, Est. Price: $55.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-30-2025-phoenix-az-chase-field/events/66a15ed7b0cc2cb65c53b16c/listings/67a52a703e2207e70bd12ac5?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 308, Row: 10, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-30-2025-phoenix-az-chase-field/events/66a15ed7b0cc2cb65c53b16c/listings/67c2be5adec8018c76f6f954?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 325, Row: 11, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-30-2025-phoenix-az-chase-field/events/66a15ed7b0cc2cb65c53b16c/listings/67c2be5adec8018c76f6f7d0?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 323, Row: 15, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-30-2025-phoenix-az-chase-field/events/66a15ed7b0cc2cb65c53b16c/listings/67c2be4ddec8018c76f55247?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 305, Row: 8, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-30-2025-phoenix-az-chase-field/events/66a15ed7b0cc2cb65c53b16c/listings/67c2be79dec8018c76fa50f3?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 306, Row: 40, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-30-2025-phoenix-az-chase-field/events/66a15ed7b0cc2cb65c53b16c/listings/67bf40f92f94efc810149377?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 327, Row: 40, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-30-2025-phoenix-az-chase-field/events/66a15ed7b0cc2cb65c53b16c/listings/67bf40f72f94efc8101466b3?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 327, Row: 10, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-30-2025-phoenix-az-chase-field/events/66a15ed7b0cc2cb65c53b16c/listings/67c2be4ddec8018c76f55714?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
