Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 201, Row: 9, Price: $44, Est. Price: $70.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=8642742484
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 204, Row: 13, Price: $44, Est. Price: $70.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=7803132787
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 205, Row: 8, Price: $44, Est. Price: $70.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=7799265727
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 205, Row: 9, Price: $44, Est. Price: $70.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=8707807788
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 211, Row: 6, Price: $45, Est. Price: $72.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=8510524471
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 204, Row: 12, Price: $45, Est. Price: $72.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=8707789509
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 218, Row: 12, Price: $45, Est. Price: $72.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=7799265731
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 216, Row: 8, Price: $45, Est. Price: $72.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=7803714813
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 217, Row: 11, Price: $46, Est. Price: $73.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=7810529129
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 225, Row: 8, Price: $46, Est. Price: $73.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=7805659381
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 232, Row: 6, Price: $47, Est. Price: $75.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=8538710667
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 222, Row: 10, Price: $47, Est. Price: $75.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=8710645070
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 215, Row: 6, Price: $47, Est. Price: $75.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=8510524537
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 207, Row: 8, Price: $47, Est. Price: $75.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=7805659558
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 228, Row: 1, Price: $48, Est. Price: $76.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=7799728063
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 221, Row: 12, Price: $49, Est. Price: $78.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=7805659514
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 226, Row: 6, Price: $49, Est. Price: $78.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=8417758004
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 202, Row: 12, Price: $50, Est. Price: $80.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=7799265735
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 221, Row: 9, Price: $50, Est. Price: $80.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=7803714710
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 219, Row: 14, Price: $51, Est. Price: $81.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=8639553695
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 217, Row: 9, Price: $51, Est. Price: $81.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=8223789791
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 215, Row: 5, Price: $51, Est. Price: $81.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=8510524532
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 218, Row: 10, Price: $52, Est. Price: $83.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=8276131398
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 201, Row: 5, Price: $56, Est. Price: $89.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=8550830382
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 204, Row: 8, Price: $56, Est. Price: $89.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=8449130386
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 224, Row: 3, Price: $56, Est. Price: $89.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=8510524483
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 223, Row: 5, Price: $56, Est. Price: $89.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=7805659608
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 226, Row: 1, Price: $58, Est. Price: $92.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=7886809279
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 231, Row: 3, Price: $58, Est. Price: $92.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=8510524535
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 216, Row: 7, Price: $58, Est. Price: $92.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=8417752555
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 203, Row: 13, Price: $59, Est. Price: $94.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=7936934588
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 219, Row: 13, Price: $59, Est. Price: $94.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=7843597266
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 217, Row: 8, Price: $59, Est. Price: $94.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=8510524497
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 213, Row: 8, Price: $60, Est. Price: $96.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=7810599965
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 230, Row: 2, Price: $62, Est. Price: $89.90, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=8510524531
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 213, Row: 7, Price: $62, Est. Price: $89.90, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=8449128774
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 229, Row: 6, Price: $64, Est. Price: $92.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=8596436651
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 216, Row: 6, Price: $65, Est. Price: $94.25, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=8336940966
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 202, Row: 5, Price: $66, Est. Price: $95.70, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=8642651529
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 204, Row: 6, Price: $66, Est. Price: $95.70, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=8387824722
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 219, Row: 10, Price: $67, Est. Price: $97.15, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=8510524544
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 217, Row: 6, Price: $68, Est. Price: $98.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=8336940982
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 220, Row: 9, Price: $68, Est. Price: $98.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=8510524574
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 214, Row: 3, Price: $68, Est. Price: $98.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=8443411681
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 206, Row: 6, Price: $69, Est. Price: $100.05, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=8541367039
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 218, Row: 7, Price: $69, Est. Price: $100.05, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=8510524558
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 205, Row: 5, Price: $71, Est. Price: $102.95, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=8510524511
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 222, Row: 9, Price: $74, Est. Price: $107.30, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=7803067968
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 215, Row: 1, Price: $75, Est. Price: $108.75, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=8548334188
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 221, Row: 7, Price: $76, Est. Price: $110.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=7805659666
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 223, Row: 3, Price: $80, Est. Price: $116.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=8332729378
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 203, Row: 11, Price: $86, Est. Price: $124.70, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=8336945182
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 231, Row: 2, Price: $88, Est. Price: $127.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=7803177544
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 217, Row: 5, Price: $91, Est. Price: $131.95, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=8422744658
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 218, Row: 4, Price: $105, Est. Price: $152.25, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=8541368311
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 107, Row: 20, Price: $111, Est. Price: $160.95, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=7803523177
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 109, Row: 28, Price: $120, Est. Price: $174.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=8493496270
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 203, Row: 10, Price: $123, Est. Price: $178.35, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=8089877023
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 110, Row: 27, Price: $124, Est. Price: $179.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=8639555209
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 110, Row: 26, Price: $126, Est. Price: $182.70, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=7804326338
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 107, Row: 18, Price: $126, Est. Price: $182.70, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=8639555109
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 224, Row: 1, Price: $127, Est. Price: $184.15, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=8707516470
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 212, Row: 1, Price: $131, Est. Price: $170.30, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=7799260197
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 108, Row: 20, Price: $134, Est. Price: $174.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=8076926477
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 110, Row: 24, Price: $134, Est. Price: $174.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=8639555170
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 220, Row: 3, Price: $134, Est. Price: $174.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=8674444345
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 220, Row: 2, Price: $139, Est. Price: $180.70, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=8633788581
