Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 210, Row: 10, Price: $17, Est. Price: $30.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=7810600023
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 226, Row: 2, Price: $18, Est. Price: $32.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=7809310588
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 202, Row: 11, Price: $18, Est. Price: $32.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=7799265766
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 201, Row: 8, Price: $18, Est. Price: $32.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=8502962679
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 218, Row: 12, Price: $18, Est. Price: $32.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=7799265779
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 228, Row: 7, Price: $18, Est. Price: $32.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=8206258574
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 217, Row: 13, Price: $18, Est. Price: $32.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=7807542960
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 226, Row: 9, Price: $18, Est. Price: $32.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=8666967926
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 226, Row: 14, Price: $18, Est. Price: $32.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=7805658330
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 213, Row: 12, Price: $18, Est. Price: $32.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=8386321226
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 209, Row: 14, Price: $18, Est. Price: $32.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=8622879870
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 210, Row: 13, Price: $18, Est. Price: $32.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=7810599778
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 213, Row: 13, Price: $18, Est. Price: $32.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=8703362844
