Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 228, Row: 11, Price: $13.00, Est. Price: $18.20, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-17-2025--sports-nba-basketball/production/5159937?showDetails=VB11212140024&groupId=&qty=2
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 206, Row: 12, Price: $13.00, Est. Price: $18.20, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-17-2025--sports-nba-basketball/production/5159937?showDetails=VB11478157747&groupId=&qty=2
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 210, Row: 5, Price: $14.00, Est. Price: $19.60, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-17-2025--sports-nba-basketball/production/5159937?showDetails=VB11212140048&groupId=&qty=2
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 224, Row: 9, Price: $16.00, Est. Price: $22.40, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-17-2025--sports-nba-basketball/production/5159937?showDetails=VB11212140064&groupId=&qty=2
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 227, Row: 8, Price: $16.00, Est. Price: $22.40, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-17-2025--sports-nba-basketball/production/5159937?showDetails=VB11493249844&groupId=&qty=2
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 226, Row: 10, Price: $16.00, Est. Price: $22.40, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-17-2025--sports-nba-basketball/production/5159937?showDetails=VB10405495075&groupId=&qty=2
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 211, Row: 6, Price: $16.00, Est. Price: $22.40, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-17-2025--sports-nba-basketball/production/5159937?showDetails=VB10386747030&groupId=&qty=2
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 215, Row: 6, Price: $16.00, Est. Price: $22.40, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-17-2025--sports-nba-basketball/production/5159937?showDetails=VB10386749065&groupId=&qty=2
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 215, Row: 5, Price: $16.00, Est. Price: $22.40, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-17-2025--sports-nba-basketball/production/5159937?showDetails=VB11493250010&groupId=&qty=2
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 206, Row: 11, Price: $16.00, Est. Price: $22.40, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-17-2025--sports-nba-basketball/production/5159937?showDetails=VB10375522175&groupId=&qty=2
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 213, Row: 8, Price: $16.00, Est. Price: $22.40, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-17-2025--sports-nba-basketball/production/5159937?showDetails=VB11746337118&groupId=&qty=2
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 217, Row: 13, Price: $17.00, Est. Price: $23.80, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-17-2025--sports-nba-basketball/production/5159937?showDetails=VB10382618068&groupId=&qty=2
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 205, Row: 8, Price: $17.00, Est. Price: $23.80, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-17-2025--sports-nba-basketball/production/5159937?showDetails=VB11709997722&groupId=&qty=2
