Date: 09-25-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 309, Row: 10, Price: $61.00, Est. Price: $61.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-25-2025-phoenix-az-chase-field/events/66a1723b573fc39854bf8ef3/listings/67d958f3dec8018c7631d935
Date: 09-25-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 307, Row: 8, Price: $61.00, Est. Price: $61.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-25-2025-phoenix-az-chase-field/events/66a1723b573fc39854bf8ef3/listings/67d9590cdec8018c7633f02a
Date: 09-25-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 326, Row: 9, Price: $61.00, Est. Price: $61.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-25-2025-phoenix-az-chase-field/events/66a1723b573fc39854bf8ef3/listings/67d958f8dec8018c76324cb3
Date: 09-25-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 300, Row: 32, Price: $63.00, Est. Price: $63.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-25-2025-phoenix-az-chase-field/events/66a1723b573fc39854bf8ef3/listings/6764fe17b98988f2dbd72370
Date: 09-25-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 332, Row: 32, Price: $63.00, Est. Price: $63.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-25-2025-phoenix-az-chase-field/events/66a1723b573fc39854bf8ef3/listings/6764fe17b98988f2dbd7241f
Date: 09-25-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 320, Row: 11, Price: $64.00, Est. Price: $64.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-25-2025-phoenix-az-chase-field/events/66a1723b573fc39854bf8ef3/listings/67d958ffdec8018c7632c77c
Date: 09-25-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 318, Row: 10, Price: $64.00, Est. Price: $64.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-25-2025-phoenix-az-chase-field/events/66a1723b573fc39854bf8ef3/listings/67d95904dec8018c7633372b
Date: 09-25-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 314, Row: 10, Price: $64.00, Est. Price: $64.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-25-2025-phoenix-az-chase-field/events/66a1723b573fc39854bf8ef3/listings/67d95902dec8018c76330ce3
Date: 09-25-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 310, Row: 9, Price: $64.00, Est. Price: $64.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-25-2025-phoenix-az-chase-field/events/66a1723b573fc39854bf8ef3/listings/67d9cb26dec8018c760ae3e5
Date: 09-25-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 316, Row: 12, Price: $64.00, Est. Price: $64.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-25-2025-phoenix-az-chase-field/events/66a1723b573fc39854bf8ef3/listings/67daa544dec8018c76926583
Date: 09-25-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 322, Row: 9, Price: $64.00, Est. Price: $64.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-25-2025-phoenix-az-chase-field/events/66a1723b573fc39854bf8ef3/listings/67d958fbdec8018c763280ee
Date: 09-25-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 319, Row: 10, Price: $65.00, Est. Price: $65.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-25-2025-phoenix-az-chase-field/events/66a1723b573fc39854bf8ef3/listings/67d95905dec8018c763358d5
Date: 09-25-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 325, Row: 16, Price: $65.00, Est. Price: $65.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-25-2025-phoenix-az-chase-field/events/66a1723b573fc39854bf8ef3/listings/67a68e083e2207e70b605efe
Date: 09-25-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 301, Row: 32, Price: $65.00, Est. Price: $65.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-25-2025-phoenix-az-chase-field/events/66a1723b573fc39854bf8ef3/listings/67ca0d36dec8018c767c4ef5
Date: 09-25-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 331, Row: 32, Price: $65.00, Est. Price: $65.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-25-2025-phoenix-az-chase-field/events/66a1723b573fc39854bf8ef3/listings/67ca0d2ddec8018c767b8664
Date: 09-25-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 302, Row: 32, Price: $65.00, Est. Price: $65.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-25-2025-phoenix-az-chase-field/events/66a1723b573fc39854bf8ef3/listings/67ca0d24dec8018c767a84d3
Date: 09-25-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 328, Row: 40, Price: $65.00, Est. Price: $65.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-25-2025-phoenix-az-chase-field/events/66a1723b573fc39854bf8ef3/listings/67ca0d1fdec8018c7679ee80
Date: 09-25-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 323, Row: 17, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-25-2025-phoenix-az-chase-field/events/66a1723b573fc39854bf8ef3/listings/67a68e103e2207e70b60f4bc
Date: 09-25-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 310, Row: 3, Price: $67.00, Est. Price: $67.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-25-2025-phoenix-az-chase-field/events/66a1723b573fc39854bf8ef3/listings/670ea1b5f0923f9bcdacbe92
Date: 09-25-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 313, Row: 19, Price: $67.00, Est. Price: $67.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-25-2025-phoenix-az-chase-field/events/66a1723b573fc39854bf8ef3/listings/67a68e0e3e2207e70b60d62d
Date: 09-25-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 313, Row: 8, Price: $67.00, Est. Price: $67.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-25-2025-phoenix-az-chase-field/events/66a1723b573fc39854bf8ef3/listings/67896fbc5f5eedb9b577e36d
Date: 09-25-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 321, Row: 9, Price: $67.00, Est. Price: $67.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-25-2025-phoenix-az-chase-field/events/66a1723b573fc39854bf8ef3/listings/670ea1b8f0923f9bcdad1cf0
Date: 09-25-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 308, Row: 2, Price: $67.00, Est. Price: $67.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-25-2025-phoenix-az-chase-field/events/66a1723b573fc39854bf8ef3/listings/67a68dfa3e2207e70b5f1b13
Date: 09-25-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 139, Row: 36, Price: $68.00, Est. Price: $68.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-25-2025-phoenix-az-chase-field/events/66a1723b573fc39854bf8ef3/listings/67a68e0f3e2207e70b60eb42
Date: 09-25-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 110, Row: 11, Price: $70.00, Est. Price: $70.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-25-2025-phoenix-az-chase-field/events/66a1723b573fc39854bf8ef3/listings/67d37516dec8018c76f09344
Date: 09-25-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 102, Row: 34, Price: $70.00, Est. Price: $70.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-25-2025-phoenix-az-chase-field/events/66a1723b573fc39854bf8ef3/listings/67a68e003e2207e70b5f8d00
Date: 09-25-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 138, Row: 30, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-25-2025-phoenix-az-chase-field/events/66a1723b573fc39854bf8ef3/listings/67d95907dec8018c76337e89
Date: 09-25-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 144, Row: 14, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-25-2025-phoenix-az-chase-field/events/66a1723b573fc39854bf8ef3/listings/67d958f9dec8018c76326552
Date: 09-25-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 142, Row: 20, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-25-2025-phoenix-az-chase-field/events/66a1723b573fc39854bf8ef3/listings/67d958fedec8018c7632aa52
Date: 09-25-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 139, Row: 21, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-25-2025-phoenix-az-chase-field/events/66a1723b573fc39854bf8ef3/listings/67d958f3dec8018c7631dbf9
Date: 09-25-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 106, Row: 28, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-25-2025-phoenix-az-chase-field/events/66a1723b573fc39854bf8ef3/listings/67d95902dec8018c76330d8a
Date: 09-25-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 107, Row: 29, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-25-2025-phoenix-az-chase-field/events/66a1723b573fc39854bf8ef3/listings/67d958f5dec8018c763204a9
Date: 09-25-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 136, Row: 38, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-25-2025-phoenix-az-chase-field/events/66a1723b573fc39854bf8ef3/listings/67a68dfc3e2207e70b5f40f6
Date: 09-25-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 140, Row: 18, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-25-2025-phoenix-az-chase-field/events/66a1723b573fc39854bf8ef3/listings/67d9590cdec8018c7633f068
Date: 09-25-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 137, Row: 30, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-25-2025-phoenix-az-chase-field/events/66a1723b573fc39854bf8ef3/listings/67d958fbdec8018c763280e7
Date: 09-25-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 141, Row: 18, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-25-2025-phoenix-az-chase-field/events/66a1723b573fc39854bf8ef3/listings/67d9590adec8018c7633c5c4
Date: 09-25-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 136, Row: 31, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-25-2025-phoenix-az-chase-field/events/66a1723b573fc39854bf8ef3/listings/67d95904dec8018c76333717
Date: 09-25-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 108, Row: 29, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-25-2025-phoenix-az-chase-field/events/66a1723b573fc39854bf8ef3/listings/67d9590cdec8018c7633efea
Date: 09-25-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 103, Row: 20, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-25-2025-phoenix-az-chase-field/events/66a1723b573fc39854bf8ef3/listings/67d95904dec8018c7633359b
Date: 09-25-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 102, Row: 20, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-25-2025-phoenix-az-chase-field/events/66a1723b573fc39854bf8ef3/listings/67d958fcdec8018c763298f3
Date: 09-25-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 104, Row: 19, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-25-2025-phoenix-az-chase-field/events/66a1723b573fc39854bf8ef3/listings/67d958f6dec8018c76322554
Date: 09-25-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 142, Row: 13, Price: $72.00, Est. Price: $72.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-25-2025-phoenix-az-chase-field/events/66a1723b573fc39854bf8ef3/listings/678683f15f5eedb9b59e2e4a
Date: 09-25-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 320, Row: 32, Price: $72.00, Est. Price: $72.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-25-2025-phoenix-az-chase-field/events/66a1723b573fc39854bf8ef3/listings/67ca0d2ddec8018c767b7dd1
Date: 09-25-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 318, Row: 32, Price: $72.00, Est. Price: $72.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-25-2025-phoenix-az-chase-field/events/66a1723b573fc39854bf8ef3/listings/67ca0d31dec8018c767be43c
Date: 09-25-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 315, Row: 32, Price: $72.00, Est. Price: $72.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-25-2025-phoenix-az-chase-field/events/66a1723b573fc39854bf8ef3/listings/67ca0cf3dec8018c76757ee4
Date: 09-25-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 312, Row: 32, Price: $72.00, Est. Price: $72.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-25-2025-phoenix-az-chase-field/events/66a1723b573fc39854bf8ef3/listings/67ca0cfedec8018c7676b154
Date: 09-25-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 317, Row: 32, Price: $72.00, Est. Price: $72.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-25-2025-phoenix-az-chase-field/events/66a1723b573fc39854bf8ef3/listings/67ca0d26dec8018c767ab696
Date: 09-25-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 319, Row: 32, Price: $73.00, Est. Price: $73.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-25-2025-phoenix-az-chase-field/events/66a1723b573fc39854bf8ef3/listings/67ca0cf3dec8018c76757e52
Date: 09-25-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 106, Row: 34, Price: $76.00, Est. Price: $76.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-25-2025-phoenix-az-chase-field/events/66a1723b573fc39854bf8ef3/listings/67a68dfc3e2207e70b5f4106
Date: 09-25-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 143, Row: 12, Price: $78.00, Est. Price: $78.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-25-2025-phoenix-az-chase-field/events/66a1723b573fc39854bf8ef3/listings/67a68dfe3e2207e70b5f723f
