Date: 09-06-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 330, Row: 32, Price: $68.00, Est. Price: $68.00, URL: https://gametime.co/mlb-baseball/red-sox-at-diamondbacks-tickets/9-6-2025-phoenix-az-chase-field/events/66a1721f8f48b5639d2f5e86/listings/67ca09acdec8018c761a5b8c
Date: 09-06-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 302, Row: 32, Price: $68.00, Est. Price: $68.00, URL: https://gametime.co/mlb-baseball/red-sox-at-diamondbacks-tickets/9-6-2025-phoenix-az-chase-field/events/66a1721f8f48b5639d2f5e86/listings/67ca09bcdec8018c761c4194
Date: 09-06-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 328, Row: 40, Price: $68.00, Est. Price: $68.00, URL: https://gametime.co/mlb-baseball/red-sox-at-diamondbacks-tickets/9-6-2025-phoenix-az-chase-field/events/66a1721f8f48b5639d2f5e86/listings/67ca09c7dec8018c761da31f
Date: 09-06-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 331, Row: 32, Price: $69.00, Est. Price: $69.00, URL: https://gametime.co/mlb-baseball/red-sox-at-diamondbacks-tickets/9-6-2025-phoenix-az-chase-field/events/66a1721f8f48b5639d2f5e86/listings/67ca09c0dec8018c761cc5ce
Date: 09-06-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 308, Row: 40, Price: $70.00, Est. Price: $70.00, URL: https://gametime.co/mlb-baseball/red-sox-at-diamondbacks-tickets/9-6-2025-phoenix-az-chase-field/events/66a1721f8f48b5639d2f5e86/listings/67ca09c9dec8018c761dde47
Date: 09-06-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 323, Row: 32, Price: $70.00, Est. Price: $70.00, URL: https://gametime.co/mlb-baseball/red-sox-at-diamondbacks-tickets/9-6-2025-phoenix-az-chase-field/events/66a1721f8f48b5639d2f5e86/listings/67ca09a4dec8018c76194899
Date: 09-06-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 305, Row: 40, Price: $70.00, Est. Price: $70.00, URL: https://gametime.co/mlb-baseball/red-sox-at-diamondbacks-tickets/9-6-2025-phoenix-az-chase-field/events/66a1721f8f48b5639d2f5e86/listings/67ca09b0dec8018c761ae046
Date: 09-06-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 309, Row: 32, Price: $70.00, Est. Price: $70.00, URL: https://gametime.co/mlb-baseball/red-sox-at-diamondbacks-tickets/9-6-2025-phoenix-az-chase-field/events/66a1721f8f48b5639d2f5e86/listings/67ca09cbdec8018c761e1294
Date: 09-06-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 324, Row: 40, Price: $70.00, Est. Price: $70.00, URL: https://gametime.co/mlb-baseball/red-sox-at-diamondbacks-tickets/9-6-2025-phoenix-az-chase-field/events/66a1721f8f48b5639d2f5e86/listings/67ca09b4dec8018c761b61b6
Date: 09-06-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 306, Row: 40, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/red-sox-at-diamondbacks-tickets/9-6-2025-phoenix-az-chase-field/events/66a1721f8f48b5639d2f5e86/listings/67ca09aedec8018c761a99ca
