Date: tbd4, Home Team: Cardinals, Away Team: Seahawks, Section: 123, Row: 26, Price: $313.00, Est. Price: $313.00, URL: https://gametime.co/nfl-football/seahawks-at-cardinals-tickets/3-3-2026-glendale-az-state-farm-stadium/events/677c937d707c8136ad2133e9/listings/67acc28f3e2207e70ba03477?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd4, Home Team: Cardinals, Away Team: Seahawks, Section: 125, Row: 30, Price: $318.00, Est. Price: $318.00, URL: https://gametime.co/nfl-football/seahawks-at-cardinals-tickets/3-3-2026-glendale-az-state-farm-stadium/events/677c937d707c8136ad2133e9/listings/67b51dbd2f94efc810bc5fb4?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd4, Home Team: Cardinals, Away Team: Seahawks, Section: 134, Row: 17, Price: $319.00, Est. Price: $319.00, URL: https://gametime.co/nfl-football/seahawks-at-cardinals-tickets/3-3-2026-glendale-az-state-farm-stadium/events/677c937d707c8136ad2133e9/listings/67c00c242f94efc8100a8d85?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd4, Home Team: Cardinals, Away Team: Seahawks, Section: 454, Row: A, Price: $319.00, Est. Price: $319.00, URL: https://gametime.co/nfl-football/seahawks-at-cardinals-tickets/3-3-2026-glendale-az-state-farm-stadium/events/677c937d707c8136ad2133e9/listings/67c9e9a5dec8018c767857e4?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd4, Home Team: Cardinals, Away Team: Seahawks, Section: 455, Row: A, Price: $319.00, Est. Price: $319.00, URL: https://gametime.co/nfl-football/seahawks-at-cardinals-tickets/3-3-2026-glendale-az-state-farm-stadium/events/677c937d707c8136ad2133e9/listings/67c9e9bedec8018c767b6975?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd4, Home Team: Cardinals, Away Team: Seahawks, Section: 106, Row: 22, Price: $324.00, Est. Price: $324.00, URL: https://gametime.co/nfl-football/seahawks-at-cardinals-tickets/3-3-2026-glendale-az-state-farm-stadium/events/677c937d707c8136ad2133e9/listings/67c00c252f94efc8100aad11?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd4, Home Team: Cardinals, Away Team: Seahawks, Section: 106, Row: 14, Price: $328.00, Est. Price: $328.00, URL: https://gametime.co/nfl-football/seahawks-at-cardinals-tickets/3-3-2026-glendale-az-state-farm-stadium/events/677c937d707c8136ad2133e9/listings/67c00c242f94efc8100a8db1?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd4, Home Team: Cardinals, Away Team: Seahawks, Section: 452, Row: 19, Price: $329.00, Est. Price: $329.00, URL: https://gametime.co/nfl-football/seahawks-at-cardinals-tickets/3-3-2026-glendale-az-state-farm-stadium/events/677c937d707c8136ad2133e9/listings/678472bb5f5eedb9b5a1edac?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd4, Home Team: Cardinals, Away Team: Seahawks, Section: 422, Row: 19, Price: $329.00, Est. Price: $329.00, URL: https://gametime.co/nfl-football/seahawks-at-cardinals-tickets/3-3-2026-glendale-az-state-farm-stadium/events/677c937d707c8136ad2133e9/listings/678472bb5f5eedb9b5a1fdbf?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd4, Home Team: Cardinals, Away Team: Seahawks, Section: 132, Row: 23, Price: $335.00, Est. Price: $335.00, URL: https://gametime.co/nfl-football/seahawks-at-cardinals-tickets/3-3-2026-glendale-az-state-farm-stadium/events/677c937d707c8136ad2133e9/listings/67c00c242f94efc8100a8d74?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd4, Home Team: Cardinals, Away Team: Seahawks, Section: 443, Row: 5, Price: $335.00, Est. Price: $335.00, URL: https://gametime.co/nfl-football/seahawks-at-cardinals-tickets/3-3-2026-glendale-az-state-farm-stadium/events/677c937d707c8136ad2133e9/listings/67a372e5f6af5e52e4fb4a6f?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd4, Home Team: Cardinals, Away Team: Seahawks, Section: 131, Row: 34, Price: $342.00, Est. Price: $342.00, URL: https://gametime.co/nfl-football/seahawks-at-cardinals-tickets/3-3-2026-glendale-az-state-farm-stadium/events/677c937d707c8136ad2133e9/listings/67c00c252f94efc8100aad8e?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd4, Home Team: Cardinals, Away Team: Seahawks, Section: 128, Row: 39, Price: $349.00, Est. Price: $349.00, URL: https://gametime.co/nfl-football/seahawks-at-cardinals-tickets/3-3-2026-glendale-az-state-farm-stadium/events/677c937d707c8136ad2133e9/listings/67c00c242f94efc8100a8cbb?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd4, Home Team: Cardinals, Away Team: Seahawks, Section: 134, Row: 32, Price: $355.00, Est. Price: $355.00, URL: https://gametime.co/nfl-football/seahawks-at-cardinals-tickets/3-3-2026-glendale-az-state-farm-stadium/events/677c937d707c8136ad2133e9/listings/67a37509f6af5e52e42bc2f5?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
