Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 321, Row: 1, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8936623673
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 314, Row: 1, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8936623645
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 315, Row: 1, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8936622241
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 319, Row: 1, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8969549302
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 142, Row: 11, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8936622479
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 142, Row: 12, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8936622519
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 143, Row: 12, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8936892781
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 108, Row: 20, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8936623377
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 108, Row: 21, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8936623411
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 108, Row: 19, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8607832693
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 133, Row: 9, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8076575978
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 311, Row: 1, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8936622182
