Date: 09-20-2025, Home Team: Dbacks, Away Team: Phillies, Section: 324, Row: 19, Price: $67.00, Est. Price: $67.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-20-2025-phoenix-az-chase-field/events/66a172347a8b3ce2b5a976f3/listings/67a68b773e2207e70b20e36f
Date: 09-20-2025, Home Team: Dbacks, Away Team: Phillies, Section: 308, Row: 40, Price: $67.00, Est. Price: $67.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-20-2025-phoenix-az-chase-field/events/66a172347a8b3ce2b5a976f3/listings/67ca0d1fdec8018c7679ef81
Date: 09-20-2025, Home Team: Dbacks, Away Team: Phillies, Section: 323, Row: 32, Price: $67.00, Est. Price: $67.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-20-2025-phoenix-az-chase-field/events/66a172347a8b3ce2b5a976f3/listings/67ca0d31dec8018c767bdca7
Date: 09-20-2025, Home Team: Dbacks, Away Team: Phillies, Section: 305, Row: 40, Price: $67.00, Est. Price: $67.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-20-2025-phoenix-az-chase-field/events/66a172347a8b3ce2b5a976f3/listings/67ca0d36dec8018c767c4f49
Date: 09-20-2025, Home Team: Dbacks, Away Team: Phillies, Section: 306, Row: 40, Price: $67.00, Est. Price: $67.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-20-2025-phoenix-az-chase-field/events/66a172347a8b3ce2b5a976f3/listings/67ca0d01dec8018c7676d674
Date: 09-20-2025, Home Team: Dbacks, Away Team: Phillies, Section: 327, Row: 40, Price: $67.00, Est. Price: $67.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-20-2025-phoenix-az-chase-field/events/66a172347a8b3ce2b5a976f3/listings/67ca0cfedec8018c7676aec3
Date: 09-20-2025, Home Team: Dbacks, Away Team: Phillies, Section: 309, Row: 32, Price: $67.00, Est. Price: $67.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-20-2025-phoenix-az-chase-field/events/66a172347a8b3ce2b5a976f3/listings/67ca0cfadec8018c76764c7b
Date: 09-20-2025, Home Team: Dbacks, Away Team: Phillies, Section: 326, Row: 40, Price: $67.00, Est. Price: $67.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-20-2025-phoenix-az-chase-field/events/66a172347a8b3ce2b5a976f3/listings/67ca0d08dec8018c767777bd
Date: 09-20-2025, Home Team: Dbacks, Away Team: Phillies, Section: 320, Row: 20, Price: $68.00, Est. Price: $68.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-20-2025-phoenix-az-chase-field/events/66a172347a8b3ce2b5a976f3/listings/67a68b6d3e2207e70b201cf6
Date: 09-20-2025, Home Team: Dbacks, Away Team: Phillies, Section: 320, Row: 32, Price: $70.00, Est. Price: $70.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-20-2025-phoenix-az-chase-field/events/66a172347a8b3ce2b5a976f3/listings/67ca0d1fdec8018c7679f439
Date: 09-20-2025, Home Team: Dbacks, Away Team: Phillies, Section: 315, Row: 32, Price: $70.00, Est. Price: $70.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-20-2025-phoenix-az-chase-field/events/66a172347a8b3ce2b5a976f3/listings/67ca0cf7dec8018c76760b90
Date: 09-20-2025, Home Team: Dbacks, Away Team: Phillies, Section: 314, Row: 32, Price: $70.00, Est. Price: $70.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-20-2025-phoenix-az-chase-field/events/66a172347a8b3ce2b5a976f3/listings/67ca0d2ddec8018c767b80e7
Date: 09-20-2025, Home Team: Dbacks, Away Team: Phillies, Section: 313, Row: 32, Price: $70.00, Est. Price: $70.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-20-2025-phoenix-az-chase-field/events/66a172347a8b3ce2b5a976f3/listings/67ca0d1ddec8018c7679b08a
Date: 09-20-2025, Home Team: Dbacks, Away Team: Phillies, Section: 312, Row: 32, Price: $70.00, Est. Price: $70.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-20-2025-phoenix-az-chase-field/events/66a172347a8b3ce2b5a976f3/listings/67ca0d28dec8018c767affa0
Date: 09-20-2025, Home Team: Dbacks, Away Team: Phillies, Section: 317, Row: 32, Price: $70.00, Est. Price: $70.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-20-2025-phoenix-az-chase-field/events/66a172347a8b3ce2b5a976f3/listings/67ca0cecdec8018c76749060
Date: 09-20-2025, Home Team: Dbacks, Away Team: Phillies, Section: 310, Row: 32, Price: $70.00, Est. Price: $70.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-20-2025-phoenix-az-chase-field/events/66a172347a8b3ce2b5a976f3/listings/67ca0d0adec8018c7677b85e
Date: 09-20-2025, Home Team: Dbacks, Away Team: Phillies, Section: 311, Row: 32, Price: $70.00, Est. Price: $70.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-20-2025-phoenix-az-chase-field/events/66a172347a8b3ce2b5a976f3/listings/67ca0d13dec8018c7678ab20
Date: 09-20-2025, Home Team: Dbacks, Away Team: Phillies, Section: 316, Row: 32, Price: $70.00, Est. Price: $70.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-20-2025-phoenix-az-chase-field/events/66a172347a8b3ce2b5a976f3/listings/67ca0d03dec8018c76770906
Date: 09-20-2025, Home Team: Dbacks, Away Team: Phillies, Section: 322, Row: 32, Price: $70.00, Est. Price: $70.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-20-2025-phoenix-az-chase-field/events/66a172347a8b3ce2b5a976f3/listings/67ca0d03dec8018c76770adc
Date: 09-20-2025, Home Team: Dbacks, Away Team: Phillies, Section: 321, Row: 32, Price: $70.00, Est. Price: $70.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-20-2025-phoenix-az-chase-field/events/66a172347a8b3ce2b5a976f3/listings/67ca0d11dec8018c767863ec
Date: 09-20-2025, Home Team: Dbacks, Away Team: Phillies, Section: 325, Row: 16, Price: $70.00, Est. Price: $70.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-20-2025-phoenix-az-chase-field/events/66a172347a8b3ce2b5a976f3/listings/67a68b6a3e2207e70b1fb9c0
Date: 09-20-2025, Home Team: Dbacks, Away Team: Phillies, Section: 306, Row: 15, Price: $70.00, Est. Price: $70.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-20-2025-phoenix-az-chase-field/events/66a172347a8b3ce2b5a976f3/listings/67a68b703e2207e70b2055dc
Date: 09-20-2025, Home Team: Dbacks, Away Team: Phillies, Section: 319, Row: 32, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-20-2025-phoenix-az-chase-field/events/66a172347a8b3ce2b5a976f3/listings/67ca0d38dec8018c767c9a8b
Date: 09-20-2025, Home Team: Dbacks, Away Team: Phillies, Section: 318, Row: 32, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-20-2025-phoenix-az-chase-field/events/66a172347a8b3ce2b5a976f3/listings/67ca0cf5dec8018c7675cb35
Date: 09-20-2025, Home Team: Dbacks, Away Team: Phillies, Section: 307, Row: 16, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-20-2025-phoenix-az-chase-field/events/66a172347a8b3ce2b5a976f3/listings/67a68b773e2207e70b20e364
Date: 09-20-2025, Home Team: Dbacks, Away Team: Phillies, Section: 313, Row: 8, Price: $72.00, Est. Price: $72.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-20-2025-phoenix-az-chase-field/events/66a172347a8b3ce2b5a976f3/listings/67896e735f5eedb9b551d652
Date: 09-20-2025, Home Team: Dbacks, Away Team: Phillies, Section: 315, Row: 19, Price: $73.00, Est. Price: $73.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-20-2025-phoenix-az-chase-field/events/66a172347a8b3ce2b5a976f3/listings/67a68b6d3e2207e70b201d04
