Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 202, Row: 14, Price: $96, Est. Price: $139.20, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8723620032
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 220, Row: 12, Price: $96, Est. Price: $139.20, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8723619874
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 220, Row: 13, Price: $96, Est. Price: $139.20, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8723619812
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 220, Row: 14, Price: $96, Est. Price: $139.20, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8723619844
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 204, Row: 11, Price: $96, Est. Price: $139.20, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8723619698
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 204, Row: 13, Price: $96, Est. Price: $139.20, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8723619739
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 216, Row: 9, Price: $96, Est. Price: $139.20, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8664482101
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 205, Row: 11, Price: $96, Est. Price: $139.20, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8723619921
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 217, Row: 8, Price: $96, Est. Price: $139.20, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8781631043
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 217, Row: 9, Price: $96, Est. Price: $139.20, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8733567672
