Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 102, Row: 18, Price: $46, Est. Price: $73.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8936889953
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 321, Row: 2, Price: $47, Est. Price: $75.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8936886195
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 142, Row: 15, Price: $47, Est. Price: $75.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8897571350
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 103, Row: 17, Price: $48, Est. Price: $76.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8936931838
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 137, Row: 28, Price: $50, Est. Price: $80.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8829714427
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 320, Row: 12, Price: $50, Est. Price: $80.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8926020941
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 316, Row: 12, Price: $50, Est. Price: $80.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8932222131
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 136, Row: 29, Price: $50, Est. Price: $80.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8829714244
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 139, Row: 22, Price: $50, Est. Price: $80.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8829713391
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 103, Row: 14, Price: $51, Est. Price: $81.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8793496816
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 141, Row: 11, Price: $51, Est. Price: $81.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8793493935
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 144, Row: 11, Price: $51, Est. Price: $81.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8793496968
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 133, Row: 13, Price: $51, Est. Price: $81.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8024664074
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 139, Row: 17, Price: $51, Est. Price: $81.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8936800466
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 108, Row: 16, Price: $51, Est. Price: $81.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8973838847
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 108, Row: 19, Price: $51, Est. Price: $81.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8973838875
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 136, Row: 17, Price: $51, Est. Price: $81.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8973838929
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 108, Row: 24, Price: $51, Est. Price: $81.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8973838867
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 108, Row: 27, Price: $51, Est. Price: $81.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8973838942
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 136, Row: 24, Price: $51, Est. Price: $81.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8973838959
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 110, Row: 12, Price: $52, Est. Price: $83.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8794393058
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 106, Row: 28, Price: $52, Est. Price: $83.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8829717654
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 321, Row: 1, Price: $52, Est. Price: $83.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8936889916
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 102, Row: 16, Price: $52, Est. Price: $83.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8936934747
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 313, Row: 5, Price: $53, Est. Price: $84.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8829713724
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 317, Row: 4, Price: $53, Est. Price: $84.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8829713968
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 313, Row: 1, Price: $53, Est. Price: $84.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8936889876
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 140, Row: 12, Price: $53, Est. Price: $84.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8936890064
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 111, Row: 11, Price: $54, Est. Price: $86.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8793506615
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 143, Row: 12, Price: $54, Est. Price: $86.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8936890199
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 111, Row: 10, Price: $55, Est. Price: $88.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8793506590
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 133, Row: 9, Price: $55, Est. Price: $88.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8793514535
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 202, Row: 3, Price: $56, Est. Price: $89.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8995092910
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 203, Row: 5, Price: $56, Est. Price: $89.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8986915988
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 217, Row: 6, Price: $56, Est. Price: $89.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8995617562
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 109, Row: 16, Price: $56, Est. Price: $89.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8986940007
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 134, Row: 21, Price: $56, Est. Price: $89.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8986905826
