Date: 09-21-2025, Home Team: Dbacks, Away Team: Phillies, Section: 326, Row: 11, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-21-2025-phoenix-az-chase-field/events/66a1723716885b26c912bf59/listings/67d95c0fdec8018c76759427
Date: 09-21-2025, Home Team: Dbacks, Away Team: Phillies, Section: 137, Row: 32, Price: $48.00, Est. Price: $48.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-21-2025-phoenix-az-chase-field/events/66a1723716885b26c912bf59/listings/67a68c3b3e2207e70b372a82
Date: 09-21-2025, Home Team: Dbacks, Away Team: Phillies, Section: 324, Row: 1, Price: $48.00, Est. Price: $48.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-21-2025-phoenix-az-chase-field/events/66a1723716885b26c912bf59/listings/67a68c393e2207e70b36dafd
Date: 09-21-2025, Home Team: Dbacks, Away Team: Phillies, Section: 307, Row: 1, Price: $48.00, Est. Price: $48.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-21-2025-phoenix-az-chase-field/events/66a1723716885b26c912bf59/listings/67896e4e5f5eedb9b54db042
Date: 09-21-2025, Home Team: Dbacks, Away Team: Phillies, Section: 139, Row: 17, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-21-2025-phoenix-az-chase-field/events/66a1723716885b26c912bf59/listings/670ea16ef0923f9bcda69583
Date: 09-21-2025, Home Team: Dbacks, Away Team: Phillies, Section: 105, Row: 18, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-21-2025-phoenix-az-chase-field/events/66a1723716885b26c912bf59/listings/67d48fbddec8018c76859d5f
Date: 09-21-2025, Home Team: Dbacks, Away Team: Phillies, Section: 310, Row: 3, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-21-2025-phoenix-az-chase-field/events/66a1723716885b26c912bf59/listings/670ea15cf0923f9bcda4bfdc
Date: 09-21-2025, Home Team: Dbacks, Away Team: Phillies, Section: 306, Row: 1, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-21-2025-phoenix-az-chase-field/events/66a1723716885b26c912bf59/listings/67a68c443e2207e70b38bda0
Date: 09-21-2025, Home Team: Dbacks, Away Team: Phillies, Section: 107, Row: 28, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-21-2025-phoenix-az-chase-field/events/66a1723716885b26c912bf59/listings/67a68c343e2207e70b36197b
Date: 09-21-2025, Home Team: Dbacks, Away Team: Phillies, Section: 102, Row: 16, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-21-2025-phoenix-az-chase-field/events/66a1723716885b26c912bf59/listings/67a68c3a3e2207e70b36fff7
