Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 327, Row: 9, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8829679673
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 101, Row: 26, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8868717745
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 103, Row: 23, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8862443508
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 315, Row: 14, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8829694142
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 317, Row: 13, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8829694055
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 318, Row: 12, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8829678974
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 106, Row: 37, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8868683318
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 133, Row: 11, Price: $44, Est. Price: $70.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8874245519
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 325, Row: 9, Price: $44, Est. Price: $70.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8868251668
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 321, Row: 12, Price: $45, Est. Price: $72.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8829679316
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 316, Row: 17, Price: $45, Est. Price: $72.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8829693964
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 307, Row: 7, Price: $45, Est. Price: $72.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8838657875
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 305, Row: 4, Price: $45, Est. Price: $72.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8829752410
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 140, Row: 23, Price: $45, Est. Price: $72.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8833265473
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 325, Row: 7, Price: $45, Est. Price: $72.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8829679763
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 327, Row: 6, Price: $45, Est. Price: $72.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8834339639
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 312, Row: 12, Price: $46, Est. Price: $73.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8859703370
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 310, Row: 12, Price: $46, Est. Price: $73.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8859703133
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 311, Row: 12, Price: $46, Est. Price: $73.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8830727958
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 313, Row: 12, Price: $46, Est. Price: $73.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8867270595
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 318, Row: 11, Price: $47, Est. Price: $75.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8830727969
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 140, Row: 21, Price: $47, Est. Price: $75.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8869968915
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 106, Row: 34, Price: $50, Est. Price: $80.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8782445232
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 138, Row: 27, Price: $50, Est. Price: $80.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8830728228
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 137, Row: 31, Price: $50, Est. Price: $80.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8830729101
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 141, Row: 21, Price: $50, Est. Price: $80.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8860202282
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 139, Row: 27, Price: $50, Est. Price: $80.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8847701822
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 221, Row: 12, Price: $50, Est. Price: $80.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8845373842
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 322, Row: 6, Price: $51, Est. Price: $81.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8850627991
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 104, Row: 21, Price: $51, Est. Price: $81.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8829678571
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 106, Row: 29, Price: $51, Est. Price: $81.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8835839519
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 143, Row: 15, Price: $51, Est. Price: $81.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8833265508
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 142, Row: 24, Price: $51, Est. Price: $81.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8841601117
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 202, Row: 5, Price: $55, Est. Price: $88.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8862429710
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 109, Row: 17, Price: $55, Est. Price: $88.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8862508404
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 200, Row: 3, Price: $55, Est. Price: $88.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8868718270
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 134, Row: 25, Price: $55, Est. Price: $88.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8874604194
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 218, Row: 10, Price: $55, Est. Price: $88.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8862436546
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 143, Row: 12, Price: $59, Est. Price: $94.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8855463185
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 100, Row: 1, Price: $59, Est. Price: $94.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8799148125
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 313, Row: 6, Price: $60, Est. Price: $96.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8743958997
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 105, Row: 22, Price: $60, Est. Price: $96.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8836689192
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 311, Row: 6, Price: $66, Est. Price: $95.70, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8867379273
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 131, Row: 28, Price: $66, Est. Price: $95.70, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8862333799
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 324, Row: 1, Price: $66, Est. Price: $95.70, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8829646779
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 202, Row: 3, Price: $66, Est. Price: $95.70, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8829706033
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 307, Row: 2, Price: $66, Est. Price: $95.70, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8827481777
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 325, Row: 4, Price: $68, Est. Price: $98.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8606122582
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 221, Row: 3, Price: $69, Est. Price: $100.05, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8838035585
