Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 320, Row: 12, Price: $61.00, Est. Price: $61.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-19-2025-phoenix-az-chase-field/events/66a1723356d58dfc9c0ea5f2/listings/67d95b7cdec8018c7660dfeb
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 301, Row: 32, Price: $61.00, Est. Price: $61.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-19-2025-phoenix-az-chase-field/events/66a1723356d58dfc9c0ea5f2/listings/67ca12ebdec8018c760952c6
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 331, Row: 32, Price: $61.00, Est. Price: $61.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-19-2025-phoenix-az-chase-field/events/66a1723356d58dfc9c0ea5f2/listings/67ca1302dec8018c760bfb52
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 103, Row: 14, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-19-2025-phoenix-az-chase-field/events/66a1723356d58dfc9c0ea5f2/listings/67b4ef742f94efc810977381
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 104, Row: 14, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-19-2025-phoenix-az-chase-field/events/66a1723356d58dfc9c0ea5f2/listings/67b4ef742f94efc810977315
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 144, Row: 11, Price: $63.00, Est. Price: $63.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-19-2025-phoenix-az-chase-field/events/66a1723356d58dfc9c0ea5f2/listings/67b4ef742f94efc81097733a
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 308, Row: 40, Price: $63.00, Est. Price: $63.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-19-2025-phoenix-az-chase-field/events/66a1723356d58dfc9c0ea5f2/listings/67ca12d7dec8018c760694ba
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 323, Row: 32, Price: $63.00, Est. Price: $63.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-19-2025-phoenix-az-chase-field/events/66a1723356d58dfc9c0ea5f2/listings/67ca1308dec8018c760cba77
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 305, Row: 40, Price: $63.00, Est. Price: $63.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-19-2025-phoenix-az-chase-field/events/66a1723356d58dfc9c0ea5f2/listings/67ca1290dec8018c76fe1948
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 306, Row: 40, Price: $63.00, Est. Price: $63.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-19-2025-phoenix-az-chase-field/events/66a1723356d58dfc9c0ea5f2/listings/67ca12e6dec8018c760895c5
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 327, Row: 40, Price: $63.00, Est. Price: $63.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-19-2025-phoenix-az-chase-field/events/66a1723356d58dfc9c0ea5f2/listings/67ca12fbdec8018c760b4114
