Date: tbd3, Home Team: Cardinals, Away Team: 49ers, Section: 113, Row: 15, Price: $376.00, Est. Price: $376.00, URL: https://gametime.co/nfl-football/49-ers-at-cardinals-tickets/3-2-2026-glendale-az-state-farm-stadium/events/677c937dc13c59c8f11a19bf/listings/67c00b852f94efc810fd8660?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd3, Home Team: Cardinals, Away Team: 49ers, Section: 445, Row: E, Price: $379.00, Est. Price: $379.00, URL: https://gametime.co/nfl-football/49-ers-at-cardinals-tickets/3-2-2026-glendale-az-state-farm-stadium/events/677c937dc13c59c8f11a19bf/listings/67c00b852f94efc810fd8687?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd3, Home Team: Cardinals, Away Team: 49ers, Section: 440, Row: A, Price: $381.00, Est. Price: $381.00, URL: https://gametime.co/nfl-football/49-ers-at-cardinals-tickets/3-2-2026-glendale-az-state-farm-stadium/events/677c937dc13c59c8f11a19bf/listings/67c9e90ddec8018c76658100?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd3, Home Team: Cardinals, Away Team: 49ers, Section: 102, Row: 22, Price: $382.00, Est. Price: $382.00, URL: https://gametime.co/nfl-football/49-ers-at-cardinals-tickets/3-2-2026-glendale-az-state-farm-stadium/events/677c937dc13c59c8f11a19bf/listings/67c00bc72f94efc8100288cb?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd3, Home Team: Cardinals, Away Team: 49ers, Section: 421, Row: 9, Price: $384.00, Est. Price: $384.00, URL: https://gametime.co/nfl-football/49-ers-at-cardinals-tickets/3-2-2026-glendale-az-state-farm-stadium/events/677c937dc13c59c8f11a19bf/listings/678470e35f5eedb9b5847c2f?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd3, Home Team: Cardinals, Away Team: 49ers, Section: 451, Row: 9, Price: $384.00, Est. Price: $384.00, URL: https://gametime.co/nfl-football/49-ers-at-cardinals-tickets/3-2-2026-glendale-az-state-farm-stadium/events/677c937dc13c59c8f11a19bf/listings/678470e45f5eedb9b58487aa?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd3, Home Team: Cardinals, Away Team: 49ers, Section: 103, Row: 27, Price: $386.00, Est. Price: $386.00, URL: https://gametime.co/nfl-football/49-ers-at-cardinals-tickets/3-2-2026-glendale-az-state-farm-stadium/events/677c937dc13c59c8f11a19bf/listings/67c00bcd2f94efc81002ce3f?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd3, Home Team: Cardinals, Away Team: 49ers, Section: 123, Row: 26, Price: $387.00, Est. Price: $387.00, URL: https://gametime.co/nfl-football/49-ers-at-cardinals-tickets/3-2-2026-glendale-az-state-farm-stadium/events/677c937dc13c59c8f11a19bf/listings/67acc1da3e2207e70b8bd585?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd3, Home Team: Cardinals, Away Team: 49ers, Section: 103, Row: 32, Price: $388.00, Est. Price: $388.00, URL: https://gametime.co/nfl-football/49-ers-at-cardinals-tickets/3-2-2026-glendale-az-state-farm-stadium/events/677c937dc13c59c8f11a19bf/listings/67c00bad2f94efc81000fca1?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd3, Home Team: Cardinals, Away Team: 49ers, Section: 447, Row: 1, Price: $388.00, Est. Price: $388.00, URL: https://gametime.co/nfl-football/49-ers-at-cardinals-tickets/3-2-2026-glendale-az-state-farm-stadium/events/677c937dc13c59c8f11a19bf/listings/67c9e918dec8018c7666da34?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
