Date: tbd8, Home Team: Cardinals, Away Team: Packers, Section: 125, Row: 30, Price: $422.00, Est. Price: $422.00, URL: https://gametime.co/nfl-football/packers-at-cardinals-tickets/3-8-2026-glendale-az-state-farm-stadium/events/677c937b707c8136ad2133e8/listings/67b51ce22f94efc8109d03fd?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd8, Home Team: Cardinals, Away Team: Packers, Section: 134, Row: 25, Price: $450.00, Est. Price: $450.00, URL: https://gametime.co/nfl-football/packers-at-cardinals-tickets/3-8-2026-glendale-az-state-farm-stadium/events/677c937b707c8136ad2133e8/listings/67c00c832f94efc810126e49?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd8, Home Team: Cardinals, Away Team: Packers, Section: 114, Row: 7, Price: $459.00, Est. Price: $459.00, URL: https://gametime.co/nfl-football/packers-at-cardinals-tickets/3-8-2026-glendale-az-state-farm-stadium/events/677c937b707c8136ad2133e8/listings/67c9e3dfdec8018c76dd2720?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd8, Home Team: Cardinals, Away Team: Packers, Section: 124, Row: 32, Price: $464.00, Est. Price: $464.00, URL: https://gametime.co/nfl-football/packers-at-cardinals-tickets/3-8-2026-glendale-az-state-farm-stadium/events/677c937b707c8136ad2133e8/listings/67c9e3d9dec8018c76dc855c?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd8, Home Team: Cardinals, Away Team: Packers, Section: 135, Row: 30, Price: $468.00, Est. Price: $468.00, URL: https://gametime.co/nfl-football/packers-at-cardinals-tickets/3-8-2026-glendale-az-state-farm-stadium/events/677c937b707c8136ad2133e8/listings/67c9e3b8dec8018c76d85018?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd8, Home Team: Cardinals, Away Team: Packers, Section: 135, Row: 25, Price: $468.00, Est. Price: $468.00, URL: https://gametime.co/nfl-football/packers-at-cardinals-tickets/3-8-2026-glendale-az-state-farm-stadium/events/677c937b707c8136ad2133e8/listings/67c9e3b5dec8018c76d80eaf?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd8, Home Team: Cardinals, Away Team: Packers, Section: 125, Row: 40, Price: $468.00, Est. Price: $468.00, URL: https://gametime.co/nfl-football/packers-at-cardinals-tickets/3-8-2026-glendale-az-state-farm-stadium/events/677c937b707c8136ad2133e8/listings/67c9e3c4dec8018c76d95d70?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd8, Home Team: Cardinals, Away Team: Packers, Section: 136, Row: 25, Price: $468.00, Est. Price: $468.00, URL: https://gametime.co/nfl-football/packers-at-cardinals-tickets/3-8-2026-glendale-az-state-farm-stadium/events/677c937b707c8136ad2133e8/listings/67c9e3cddec8018c76daaadf?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd8, Home Team: Cardinals, Away Team: Packers, Section: 125, Row: 25, Price: $470.00, Est. Price: $470.00, URL: https://gametime.co/nfl-football/packers-at-cardinals-tickets/3-8-2026-glendale-az-state-farm-stadium/events/677c937b707c8136ad2133e8/listings/67c9e3e1dec8018c76dd4a1d?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd8, Home Team: Cardinals, Away Team: Packers, Section: 125, Row: 7, Price: $472.00, Est. Price: $472.00, URL: https://gametime.co/nfl-football/packers-at-cardinals-tickets/3-8-2026-glendale-az-state-farm-stadium/events/677c937b707c8136ad2133e8/listings/67c00c832f94efc810126f34?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd8, Home Team: Cardinals, Away Team: Packers, Section: 113, Row: 15, Price: $472.00, Est. Price: $472.00, URL: https://gametime.co/nfl-football/packers-at-cardinals-tickets/3-8-2026-glendale-az-state-farm-stadium/events/677c937b707c8136ad2133e8/listings/67c00c842f94efc8101278b9?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd8, Home Team: Cardinals, Away Team: Packers, Section: 114, Row: 14, Price: $472.00, Est. Price: $472.00, URL: https://gametime.co/nfl-football/packers-at-cardinals-tickets/3-8-2026-glendale-az-state-farm-stadium/events/677c937b707c8136ad2133e8/listings/67c9e3d8dec8018c76dc4d7c?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd8, Home Team: Cardinals, Away Team: Packers, Section: 136, Row: 15, Price: $473.00, Est. Price: $473.00, URL: https://gametime.co/nfl-football/packers-at-cardinals-tickets/3-8-2026-glendale-az-state-farm-stadium/events/677c937b707c8136ad2133e8/listings/67c9e3c6dec8018c76d98d95?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
