Date: tbd1, Home Team: Cardinals, Away Team: Falcons, Section: 125, Row: 30, Price: $265.00, Est. Price: $265.00, URL: https://gametime.co/nfl-football/falcons-at-cardinals-tickets/3-4-2026-glendale-az-state-farm-stadium/events/677c937c69ea405082a339ec/listings/67b51dd82f94efc810bfd5d8?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd1, Home Team: Cardinals, Away Team: Falcons, Section: 134, Row: 17, Price: $272.00, Est. Price: $272.00, URL: https://gametime.co/nfl-football/falcons-at-cardinals-tickets/3-4-2026-glendale-az-state-farm-stadium/events/677c937c69ea405082a339ec/listings/67c00c332f94efc8100c1feb?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd1, Home Team: Cardinals, Away Team: Falcons, Section: 454, Row: A, Price: $283.00, Est. Price: $283.00, URL: https://gametime.co/nfl-football/falcons-at-cardinals-tickets/3-4-2026-glendale-az-state-farm-stadium/events/677c937c69ea405082a339ec/listings/67c9e9c2dec8018c767befb5?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd1, Home Team: Cardinals, Away Team: Falcons, Section: 455, Row: A, Price: $290.00, Est. Price: $290.00, URL: https://gametime.co/nfl-football/falcons-at-cardinals-tickets/3-4-2026-glendale-az-state-farm-stadium/events/677c937c69ea405082a339ec/listings/67c9e9e7dec8018c767f957a?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd1, Home Team: Cardinals, Away Team: Falcons, Section: 106, Row: 22, Price: $291.00, Est. Price: $291.00, URL: https://gametime.co/nfl-football/falcons-at-cardinals-tickets/3-4-2026-glendale-az-state-farm-stadium/events/677c937c69ea405082a339ec/listings/67c00c332f94efc8100c2014?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd1, Home Team: Cardinals, Away Team: Falcons, Section: 106, Row: 14, Price: $294.00, Est. Price: $294.00, URL: https://gametime.co/nfl-football/falcons-at-cardinals-tickets/3-4-2026-glendale-az-state-farm-stadium/events/677c937c69ea405082a339ec/listings/67c00c342f94efc8100c3e18?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd1, Home Team: Cardinals, Away Team: Falcons, Section: 132, Row: 23, Price: $297.00, Est. Price: $297.00, URL: https://gametime.co/nfl-football/falcons-at-cardinals-tickets/3-4-2026-glendale-az-state-farm-stadium/events/677c937c69ea405082a339ec/listings/67c00c342f94efc8100c3e41?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd1, Home Team: Cardinals, Away Team: Falcons, Section: 413, Row: 8, Price: $305.00, Est. Price: $305.00, URL: https://gametime.co/nfl-football/falcons-at-cardinals-tickets/3-4-2026-glendale-az-state-farm-stadium/events/677c937c69ea405082a339ec/listings/67a3723af6af5e52e4ebbff0?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd1, Home Team: Cardinals, Away Team: Falcons, Section: 131, Row: 34, Price: $307.00, Est. Price: $307.00, URL: https://gametime.co/nfl-football/falcons-at-cardinals-tickets/3-4-2026-glendale-az-state-farm-stadium/events/677c937c69ea405082a339ec/listings/67c00c332f94efc8100c1f5d?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd1, Home Team: Cardinals, Away Team: Falcons, Section: 111, Row: 32, Price: $310.00, Est. Price: $310.00, URL: https://gametime.co/nfl-football/falcons-at-cardinals-tickets/3-4-2026-glendale-az-state-farm-stadium/events/677c937c69ea405082a339ec/listings/67bf675e2f94efc81009bf8f?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd1, Home Team: Cardinals, Away Team: Falcons, Section: 127, Row: 25, Price: $310.00, Est. Price: $310.00, URL: https://gametime.co/nfl-football/falcons-at-cardinals-tickets/3-4-2026-glendale-az-state-farm-stadium/events/677c937c69ea405082a339ec/listings/67bf675e2f94efc81009bf89?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd1, Home Team: Cardinals, Away Team: Falcons, Section: 123, Row: 26, Price: $313.00, Est. Price: $313.00, URL: https://gametime.co/nfl-football/falcons-at-cardinals-tickets/3-4-2026-glendale-az-state-farm-stadium/events/677c937c69ea405082a339ec/listings/67acc1cd3e2207e70b89f8b1?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd1, Home Team: Cardinals, Away Team: Falcons, Section: 128, Row: 39, Price: $314.00, Est. Price: $314.00, URL: https://gametime.co/nfl-football/falcons-at-cardinals-tickets/3-4-2026-glendale-az-state-farm-stadium/events/677c937c69ea405082a339ec/listings/67c00c332f94efc8100c203c?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
