Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 141, Row: 11, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8793493927
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 144, Row: 11, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8793496958
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 300, Row: 32, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8946093586
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 308, Row: 9, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8854300503
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 306, Row: 8, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8930620881
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 311, Row: 10, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8987014822
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 320, Row: 12, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8987058154
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 313, Row: 11, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8987058166
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 321, Row: 11, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8994605703
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 322, Row: 10, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8986924727
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 319, Row: 12, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8986924725
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 317, Row: 12, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8987058159
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 324, Row: 14, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8937233609
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 305, Row: 40, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8904652052
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 319, Row: 9, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8936885692
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 324, Row: 9, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8830051542
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 313, Row: 8, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8936931732
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 108, Row: 30, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8936931309
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 316, Row: 10, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8854301355
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 314, Row: 11, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8840515324
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 318, Row: 11, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8830051333
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 305, Row: 3, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8966007110
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 324, Row: 5, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8842226342
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 300, Row: 2, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8894512672
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 300, Row: 10, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8889739226
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 300, Row: 11, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8889739249
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 300, Row: 12, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8889739265
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 300, Row: 13, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8889739275
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 300, Row: 14, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8889739296
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 300, Row: 15, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8889739346
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 300, Row: 16, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8889739367
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 300, Row: 17, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8889739377
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 300, Row: 18, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8894512569
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 300, Row: 19, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8894512643
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 332, Row: 11, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8907861021
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 300, Row: 20, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8894512681
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 300, Row: 21, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8894512685
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 300, Row: 22, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8894512691
