Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 309, Row: 13, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/67e42aa9d4811782d30e9d60
Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 326, Row: 11, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/67e42aa0d4811782d30dafdc
Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 137, Row: 39, Price: $63.00, Est. Price: $63.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/6764fc76b98988f2db97bb07
Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 324, Row: 10, Price: $63.00, Est. Price: $63.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/67e891d6d4811782d3682b2e
Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 323, Row: 36, Price: $63.00, Est. Price: $63.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/6764fc75b98988f2db97a7d6
Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 306, Row: 13, Price: $63.00, Est. Price: $63.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/67e42aa6d4811782d30e342a
Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 107, Row: 39, Price: $64.00, Est. Price: $64.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/6764fc79b98988f2db9805d6
Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 310, Row: 32, Price: $64.00, Est. Price: $64.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/6764fc78b98988f2db97e4a1
Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 317, Row: 13, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/67e42a9dd4811782d30d69d2
Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 321, Row: 13, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/67e42a9cd4811782d30d4886
Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 310, Row: 12, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/67e42a9dd4811782d30d69d4
Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 311, Row: 12, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/67e42a9fd4811782d30d8a87
Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 316, Row: 16, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/67e42a9ad4811782d30d3382
Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 322, Row: 12, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/67e42aa8d4811782d30e70ca
Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 319, Row: 12, Price: $67.00, Est. Price: $67.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/67e42a9fd4811782d30d8ada
Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 320, Row: 13, Price: $67.00, Est. Price: $67.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/67e42aa0d4811782d30daf75
Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 318, Row: 12, Price: $67.00, Est. Price: $67.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/67e42aa8d4811782d30e703d
Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 315, Row: 15, Price: $67.00, Est. Price: $67.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/67e42aabd4811782d30ed3f5
Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 314, Row: 12, Price: $67.00, Est. Price: $67.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/67e42aa0d4811782d30db08f
Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 313, Row: 12, Price: $67.00, Est. Price: $67.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/67e42aa3d4811782d30de719
Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 312, Row: 13, Price: $67.00, Est. Price: $67.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/67e42aa3d4811782d30de6af
Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 301, Row: 32, Price: $67.00, Est. Price: $67.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/67ea4088d4811782d35cdd8c
Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 331, Row: 32, Price: $67.00, Est. Price: $67.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/67e45e8dd4811782d3b8ccf4
Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 330, Row: 32, Price: $67.00, Est. Price: $67.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/67e45e63d4811782d3b3392c
Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 140, Row: 21, Price: $68.00, Est. Price: $68.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/67c3f5c0dec8018c768135e4
Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 101, Row: 22, Price: $68.00, Est. Price: $68.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/67e15d32d4811782d3eaad13
Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 308, Row: 40, Price: $69.00, Est. Price: $69.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/67e45e8ad4811782d3b86eed
Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 306, Row: 40, Price: $69.00, Est. Price: $69.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/67e45e4ad4811782d3aeead3
Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 319, Row: 32, Price: $73.00, Est. Price: $73.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/6764fc79b98988f2db9806db
Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 313, Row: 32, Price: $73.00, Est. Price: $73.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/6764fc78b98988f2db97f491
Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 110, Row: 39, Price: $74.00, Est. Price: $74.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/67b8db392f94efc8100d7c82
Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 320, Row: 32, Price: $75.00, Est. Price: $75.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/67e84c9bd4811782d3561c66
Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 318, Row: 32, Price: $75.00, Est. Price: $75.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/67e84cded4811782d360bda1
Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 315, Row: 32, Price: $75.00, Est. Price: $75.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/67e45e80d4811782d3b708b4
Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 314, Row: 32, Price: $75.00, Est. Price: $75.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/67e45e59d4811782d3b16cbb
Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 312, Row: 32, Price: $75.00, Est. Price: $75.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/67e45e79d4811782d3b67f5d
Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 105, Row: 18, Price: $76.00, Est. Price: $76.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/67e15d3dd4811782d3eb6ca7
Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 138, Row: 37, Price: $82.00, Est. Price: $82.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/67e42aa2d4811782d30dccb6
Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 142, Row: 28, Price: $82.00, Est. Price: $82.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/67e42aa6d4811782d30e340f
Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 106, Row: 32, Price: $82.00, Est. Price: $82.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/67e42aa5d4811782d30e0aa5
Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 107, Row: 30, Price: $82.00, Est. Price: $82.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/67e42aa8d4811782d30e705e
Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 141, Row: 25, Price: $82.00, Est. Price: $82.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/67e42aa8d4811782d30e712e
Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 136, Row: 31, Price: $82.00, Est. Price: $82.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/67e596d7d4811782d3753e5c
Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 108, Row: 36, Price: $82.00, Est. Price: $82.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/67e42a9fd4811782d30d8b66
Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 103, Row: 23, Price: $82.00, Est. Price: $82.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/67e42a9dd4811782d30d686e
Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 105, Row: 26, Price: $82.00, Est. Price: $82.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/67e42aa8d4811782d30e7140
Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 102, Row: 25, Price: $82.00, Est. Price: $82.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/67e42a9dd4811782d30d6969
Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 104, Row: 24, Price: $82.00, Est. Price: $82.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/67e74458d4811782d3a075fc
Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 143, Row: 21, Price: $83.00, Est. Price: $83.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/67e42aa2d4811782d30dcd35
Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 144, Row: 15, Price: $83.00, Est. Price: $83.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/67e42aabd4811782d30ed2fe
Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 139, Row: 27, Price: $83.00, Est. Price: $83.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/67e42a9cd4811782d30d487d
