Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 107, Row: 29, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/67896e305f5eedb9b54a98ad
Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 319, Row: 9, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/67a67ad33e2207e70b7d843a
Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 315, Row: 9, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/67896e2f5f5eedb9b54a710c
Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 314, Row: 11, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/67a67b3f3e2207e70b8783d7
Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 313, Row: 8, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/67896e3b5f5eedb9b54bd798
Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 332, Row: 30, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/67e45b91d4811782d35d2015
Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 301, Row: 32, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/67e45ba9d4811782d35f0109
Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 331, Row: 32, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/67e45b8ed4811782d35ce229
Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 300, Row: 30, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/67e45b85d4811782d35c017d
Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 302, Row: 32, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/67e45b86d4811782d35c2d63
Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 329, Row: 38, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/67e45b85d4811782d35c01d0
Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 328, Row: 40, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/67e45bacd4811782d35f2dd7
Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 324, Row: 11, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/67e32053d4811782d335c5e8
Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 325, Row: 9, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/67e32036d4811782d3320187
Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 323, Row: 10, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/67e32054d4811782d335e291
Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 305, Row: 9, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/67e32044d4811782d333b113
Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 306, Row: 12, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/67e32054d4811782d335e35e
Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 327, Row: 9, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/67e32029d4811782d330c8e2
