Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 137, Row: 29, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8936275339
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 323, Row: 34, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=9106576862
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 321, Row: 2, Price: $23, Est. Price: $41.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8936707333
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 307, Row: 1, Price: $23, Est. Price: $41.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8936709110
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 325, Row: 1, Price: $23, Est. Price: $41.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8936707045
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 305, Row: 1, Price: $23, Est. Price: $41.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8936706960
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 139, Row: 17, Price: $23, Est. Price: $41.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8936707378
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 107, Row: 29, Price: $23, Est. Price: $41.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8936709798
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 328, Row: 9, Price: $23, Est. Price: $41.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8829858454
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 304, Row: 40, Price: $23, Est. Price: $41.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8655253831
