Date: 05-28-2025, Home Team: Dbacks, Away Team: Pirates, Section: 326, Row: 11, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-28-2025-phoenix-az-chase-field/events/66a17157218fbd112338826e/listings/67e32058d4811782d3363a25
Date: 05-28-2025, Home Team: Dbacks, Away Team: Pirates, Section: 308, Row: 40, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-28-2025-phoenix-az-chase-field/events/66a17157218fbd112338826e/listings/67ef47020b271341d18ef659
Date: 05-28-2025, Home Team: Dbacks, Away Team: Pirates, Section: 327, Row: 40, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-28-2025-phoenix-az-chase-field/events/66a17157218fbd112338826e/listings/67ef48670b271341d1b7d386
Date: 05-28-2025, Home Team: Dbacks, Away Team: Pirates, Section: 136, Row: 26, Price: $44.00, Est. Price: $44.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-28-2025-phoenix-az-chase-field/events/66a17157218fbd112338826e/listings/670ea102f0923f9bcd9c72de
Date: 05-28-2025, Home Team: Dbacks, Away Team: Pirates, Section: 137, Row: 39, Price: $44.00, Est. Price: $44.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-28-2025-phoenix-az-chase-field/events/66a17157218fbd112338826e/listings/6764fbc1b98988f2db85089c
Date: 05-28-2025, Home Team: Dbacks, Away Team: Pirates, Section: 104, Row: 39, Price: $44.00, Est. Price: $44.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-28-2025-phoenix-az-chase-field/events/66a17157218fbd112338826e/listings/6764fbc2b98988f2db854257
Date: 05-28-2025, Home Team: Dbacks, Away Team: Pirates, Section: 310, Row: 32, Price: $44.00, Est. Price: $44.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-28-2025-phoenix-az-chase-field/events/66a17157218fbd112338826e/listings/6764fbc3b98988f2db8551ca
Date: 05-28-2025, Home Team: Dbacks, Away Team: Pirates, Section: 103, Row: 14, Price: $44.00, Est. Price: $44.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-28-2025-phoenix-az-chase-field/events/66a17157218fbd112338826e/listings/67896e305f5eedb9b54a97fb
Date: 05-28-2025, Home Team: Dbacks, Away Team: Pirates, Section: 314, Row: 1, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-28-2025-phoenix-az-chase-field/events/66a17157218fbd112338826e/listings/67896e285f5eedb9b549aa6b
Date: 05-28-2025, Home Team: Dbacks, Away Team: Pirates, Section: 108, Row: 20, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-28-2025-phoenix-az-chase-field/events/66a17157218fbd112338826e/listings/67896e295f5eedb9b549bc24
