Date: 06-27-2025, Home Team: Dbacks, Away Team: Marlins, Section: 143, Row: 31, Price: $48.00, Est. Price: $48.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-27-2025-phoenix-az-chase-field/events/66a171ad66e0626c8de367d0/listings/6764fc77b98988f2db97d205
Date: 06-27-2025, Home Team: Dbacks, Away Team: Marlins, Section: 102, Row: 39, Price: $48.00, Est. Price: $48.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-27-2025-phoenix-az-chase-field/events/66a171ad66e0626c8de367d0/listings/6764fc78b98988f2db97e4c3
Date: 06-27-2025, Home Team: Dbacks, Away Team: Marlins, Section: 308, Row: 11, Price: $48.00, Est. Price: $48.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-27-2025-phoenix-az-chase-field/events/66a171ad66e0626c8de367d0/listings/67e3d6cad4811782d3754fd0
Date: 06-27-2025, Home Team: Dbacks, Away Team: Marlins, Section: 324, Row: 2, Price: $48.00, Est. Price: $48.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-27-2025-phoenix-az-chase-field/events/66a171ad66e0626c8de367d0/listings/67896e335f5eedb9b54ae9fd
Date: 06-27-2025, Home Team: Dbacks, Away Team: Marlins, Section: 111, Row: 11, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-27-2025-phoenix-az-chase-field/events/66a171ad66e0626c8de367d0/listings/677b24cfb98988f2db0180be
Date: 06-27-2025, Home Team: Dbacks, Away Team: Marlins, Section: 142, Row: 13, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-27-2025-phoenix-az-chase-field/events/66a171ad66e0626c8de367d0/listings/678683f15f5eedb9b59e2f4f
Date: 06-27-2025, Home Team: Dbacks, Away Team: Marlins, Section: 141, Row: 23, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-27-2025-phoenix-az-chase-field/events/66a171ad66e0626c8de367d0/listings/67a67f483e2207e70b010adb
Date: 06-27-2025, Home Team: Dbacks, Away Team: Marlins, Section: 105, Row: 18, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-27-2025-phoenix-az-chase-field/events/66a171ad66e0626c8de367d0/listings/67e15d3cd4811782d3eb45cf
Date: 06-27-2025, Home Team: Dbacks, Away Team: Marlins, Section: 310, Row: 3, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-27-2025-phoenix-az-chase-field/events/66a171ad66e0626c8de367d0/listings/670ea13ef0923f9bcda1e1ce
Date: 06-27-2025, Home Team: Dbacks, Away Team: Marlins, Section: 307, Row: 1, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-27-2025-phoenix-az-chase-field/events/66a171ad66e0626c8de367d0/listings/67896e335f5eedb9b54ae9c1
Date: 06-27-2025, Home Team: Dbacks, Away Team: Marlins, Section: 308, Row: 40, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-27-2025-phoenix-az-chase-field/events/66a171ad66e0626c8de367d0/listings/67e45e87d4811782d3b7e406
Date: 06-27-2025, Home Team: Dbacks, Away Team: Marlins, Section: 306, Row: 1, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-27-2025-phoenix-az-chase-field/events/66a171ad66e0626c8de367d0/listings/67a67f4d3e2207e70b0218fe
Date: 06-27-2025, Home Team: Dbacks, Away Team: Marlins, Section: 323, Row: 34, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-27-2025-phoenix-az-chase-field/events/66a171ad66e0626c8de367d0/listings/67e45e4bd4811782d3aeec26
Date: 06-27-2025, Home Team: Dbacks, Away Team: Marlins, Section: 305, Row: 40, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-27-2025-phoenix-az-chase-field/events/66a171ad66e0626c8de367d0/listings/67e45e5bd4811782d3b1a026
Date: 06-27-2025, Home Team: Dbacks, Away Team: Marlins, Section: 143, Row: 21, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-27-2025-phoenix-az-chase-field/events/66a171ad66e0626c8de367d0/listings/67a67f463e2207e70b00a6b5
Date: 06-27-2025, Home Team: Dbacks, Away Team: Marlins, Section: 107, Row: 29, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-27-2025-phoenix-az-chase-field/events/66a171ad66e0626c8de367d0/listings/67896e2e5f5eedb9b54a5b45
Date: 06-27-2025, Home Team: Dbacks, Away Team: Marlins, Section: 317, Row: 7, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-27-2025-phoenix-az-chase-field/events/66a171ad66e0626c8de367d0/listings/67a67f453e2207e70b0077c9
Date: 06-27-2025, Home Team: Dbacks, Away Team: Marlins, Section: 108, Row: 21, Price: $52.00, Est. Price: $52.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-27-2025-phoenix-az-chase-field/events/66a171ad66e0626c8de367d0/listings/67896e265f5eedb9b5497749
Date: 06-27-2025, Home Team: Dbacks, Away Team: Marlins, Section: 320, Row: 12, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-27-2025-phoenix-az-chase-field/events/66a171ad66e0626c8de367d0/listings/67e8a716d4811782d3cb2e6d
Date: 06-27-2025, Home Team: Dbacks, Away Team: Marlins, Section: 314, Row: 18, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-27-2025-phoenix-az-chase-field/events/66a171ad66e0626c8de367d0/listings/67e3d6cad4811782d3754dda
Date: 06-27-2025, Home Team: Dbacks, Away Team: Marlins, Section: 317, Row: 12, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-27-2025-phoenix-az-chase-field/events/66a171ad66e0626c8de367d0/listings/67e3d6cdd4811782d375aa88
Date: 06-27-2025, Home Team: Dbacks, Away Team: Marlins, Section: 321, Row: 11, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-27-2025-phoenix-az-chase-field/events/66a171ad66e0626c8de367d0/listings/67e3d6e3d4811782d3781396
Date: 06-27-2025, Home Team: Dbacks, Away Team: Marlins, Section: 310, Row: 11, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-27-2025-phoenix-az-chase-field/events/66a171ad66e0626c8de367d0/listings/67e3d6e3d4811782d3781526
Date: 06-27-2025, Home Team: Dbacks, Away Team: Marlins, Section: 316, Row: 16, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-27-2025-phoenix-az-chase-field/events/66a171ad66e0626c8de367d0/listings/67e3d6d6d4811782d3766a30
Date: 06-27-2025, Home Team: Dbacks, Away Team: Marlins, Section: 322, Row: 11, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-27-2025-phoenix-az-chase-field/events/66a171ad66e0626c8de367d0/listings/67e3d6dad4811782d376c42b
Date: 06-27-2025, Home Team: Dbacks, Away Team: Marlins, Section: 111, Row: 6, Price: $54.00, Est. Price: $54.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-27-2025-phoenix-az-chase-field/events/66a171ad66e0626c8de367d0/listings/677b24cfb98988f2db018106
Date: 06-27-2025, Home Team: Dbacks, Away Team: Marlins, Section: 215, Row: 4, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-27-2025-phoenix-az-chase-field/events/66a171ad66e0626c8de367d0/listings/67e15d32d4811782d3eaab49
