Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 313, Row: 8, Price: $26, Est. Price: $41.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=8937079083
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 315, Row: 9, Price: $26, Est. Price: $41.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9031718351
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 317, Row: 9, Price: $26, Est. Price: $41.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9031718352
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 318, Row: 9, Price: $26, Est. Price: $41.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9031718359
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 324, Row: 3, Price: $26, Est. Price: $41.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9066012925
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 324, Row: 7, Price: $26, Est. Price: $41.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9031718365
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 310, Row: 32, Price: $26, Est. Price: $41.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9074265017
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 324, Row: 1, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9066012434
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 305, Row: 1, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9070722272
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 324, Row: 2, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=8937079096
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 102, Row: 26, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9078319948
