Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 314, Row: 24, Price: $59.00, Est. Price: $59.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/67d23319dec8018c76b83689
Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 317, Row: 9, Price: $59.00, Est. Price: $59.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/67d23334dec8018c76bb5b24
Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 326, Row: 21, Price: $59.00, Est. Price: $59.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/67e32023d4811782d3304047
Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 327, Row: 18, Price: $59.00, Est. Price: $59.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/67e32030d4811782d3317df4
Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 309, Row: 13, Price: $59.00, Est. Price: $59.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/67e3203bd4811782d332771f
Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 323, Row: 13, Price: $59.00, Est. Price: $59.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/67e3203fd4811782d332eef3
Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 306, Row: 11, Price: $59.00, Est. Price: $59.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/67e32049d4811782d3347c47
Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 324, Row: 13, Price: $59.00, Est. Price: $59.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/67ecb17ad4811782d3a6e9ce
Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 313, Row: 22, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/67d2332cdec8018c76ba8d81
Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 319, Row: 9, Price: $61.00, Est. Price: $61.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/670ea1b2f0923f9bcdac7c02
Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 142, Row: 13, Price: $61.00, Est. Price: $61.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/678683f15f5eedb9b59e2e1a
Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 300, Row: 29, Price: $61.00, Est. Price: $61.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/67ef489a0b271341d1bb5774
Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 105, Row: 18, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/67e15d3ad4811782d3eb362e
Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 318, Row: 12, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/67e3202ed4811782d33156b5
Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 315, Row: 13, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/67e32030d4811782d33170c5
