Date: 06-28-2025, Home Team: Dbacks, Away Team: Marlins, Section: 315, Row: 9, Price: $59.00, Est. Price: $59.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-28-2025-phoenix-az-chase-field/events/66a171af218fbd112338827c/listings/67896e465f5eedb9b54cd8de
Date: 06-28-2025, Home Team: Dbacks, Away Team: Marlins, Section: 314, Row: 13, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-28-2025-phoenix-az-chase-field/events/66a171af218fbd112338827c/listings/67e3d6d6d4811782d37668c0
Date: 06-28-2025, Home Team: Dbacks, Away Team: Marlins, Section: 313, Row: 14, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-28-2025-phoenix-az-chase-field/events/66a171af218fbd112338827c/listings/67e3d6e3d4811782d3780dbf
Date: 06-28-2025, Home Team: Dbacks, Away Team: Marlins, Section: 317, Row: 13, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-28-2025-phoenix-az-chase-field/events/66a171af218fbd112338827c/listings/67e81ae2d4811782d3605c60
Date: 06-28-2025, Home Team: Dbacks, Away Team: Marlins, Section: 321, Row: 13, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-28-2025-phoenix-az-chase-field/events/66a171af218fbd112338827c/listings/67e3d6dfd4811782d377a2cb
Date: 06-28-2025, Home Team: Dbacks, Away Team: Marlins, Section: 310, Row: 12, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-28-2025-phoenix-az-chase-field/events/66a171af218fbd112338827c/listings/67e3d6c8d4811782d3751c99
Date: 06-28-2025, Home Team: Dbacks, Away Team: Marlins, Section: 311, Row: 12, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-28-2025-phoenix-az-chase-field/events/66a171af218fbd112338827c/listings/67e3d6d8d4811782d3769b7d
Date: 06-28-2025, Home Team: Dbacks, Away Team: Marlins, Section: 316, Row: 16, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-28-2025-phoenix-az-chase-field/events/66a171af218fbd112338827c/listings/67e3d6cad4811782d3754f9a
Date: 06-28-2025, Home Team: Dbacks, Away Team: Marlins, Section: 322, Row: 12, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-28-2025-phoenix-az-chase-field/events/66a171af218fbd112338827c/listings/67e3d6d6d4811782d376699c
Date: 06-28-2025, Home Team: Dbacks, Away Team: Marlins, Section: 142, Row: 13, Price: $61.00, Est. Price: $61.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-28-2025-phoenix-az-chase-field/events/66a171af218fbd112338827c/listings/678683f15f5eedb9b59e2f38
