Date: 06-15-2025, Home Team: Dbacks, Away Team: Padres, Section: 316, Row: 16, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-15-2025-phoenix-az-chase-field/events/66a1718f89fae7767613368b/listings/67e32053d4811782d335cdef
Date: 06-15-2025, Home Team: Dbacks, Away Team: Padres, Section: 322, Row: 12, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-15-2025-phoenix-az-chase-field/events/66a1718f89fae7767613368b/listings/67e32047d4811782d33432bb
Date: 06-15-2025, Home Team: Dbacks, Away Team: Padres, Section: 320, Row: 13, Price: $67.00, Est. Price: $67.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-15-2025-phoenix-az-chase-field/events/66a1718f89fae7767613368b/listings/67e32036d4811782d3320c31
Date: 06-15-2025, Home Team: Dbacks, Away Team: Padres, Section: 313, Row: 12, Price: $67.00, Est. Price: $67.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-15-2025-phoenix-az-chase-field/events/66a1718f89fae7767613368b/listings/67e3204fd4811782d33544ca
Date: 06-15-2025, Home Team: Dbacks, Away Team: Padres, Section: 314, Row: 14, Price: $67.00, Est. Price: $67.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-15-2025-phoenix-az-chase-field/events/66a1718f89fae7767613368b/listings/67e32025d4811782d3306760
Date: 06-15-2025, Home Team: Dbacks, Away Team: Padres, Section: 301, Row: 32, Price: $67.00, Est. Price: $67.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-15-2025-phoenix-az-chase-field/events/66a1718f89fae7767613368b/listings/67e45ba5d4811782d35ec936
Date: 06-15-2025, Home Team: Dbacks, Away Team: Padres, Section: 331, Row: 32, Price: $67.00, Est. Price: $67.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-15-2025-phoenix-az-chase-field/events/66a1718f89fae7767613368b/listings/67e45bb1d4811782d35f9ab5
Date: 06-15-2025, Home Team: Dbacks, Away Team: Padres, Section: 330, Row: 2, Price: $67.00, Est. Price: $67.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-15-2025-phoenix-az-chase-field/events/66a1718f89fae7767613368b/listings/673d1090585e58e5aa5d6a45
Date: 06-15-2025, Home Team: Dbacks, Away Team: Padres, Section: 318, Row: 13, Price: $68.00, Est. Price: $68.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-15-2025-phoenix-az-chase-field/events/66a1718f89fae7767613368b/listings/67e3204ad4811782d334a732
Date: 06-15-2025, Home Team: Dbacks, Away Team: Padres, Section: 308, Row: 40, Price: $69.00, Est. Price: $69.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-15-2025-phoenix-az-chase-field/events/66a1718f89fae7767613368b/listings/67e45bb3d4811782d35fbba9
Date: 06-15-2025, Home Team: Dbacks, Away Team: Padres, Section: 323, Row: 32, Price: $69.00, Est. Price: $69.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-15-2025-phoenix-az-chase-field/events/66a1718f89fae7767613368b/listings/67e45b86d4811782d35c2d09
Date: 06-15-2025, Home Team: Dbacks, Away Team: Padres, Section: 306, Row: 40, Price: $69.00, Est. Price: $69.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-15-2025-phoenix-az-chase-field/events/66a1718f89fae7767613368b/listings/67e45ba8d4811782d35eef8f
Date: 06-15-2025, Home Team: Dbacks, Away Team: Padres, Section: 327, Row: 40, Price: $69.00, Est. Price: $69.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-15-2025-phoenix-az-chase-field/events/66a1718f89fae7767613368b/listings/67e45b8ed4811782d35ce280
Date: 06-15-2025, Home Team: Dbacks, Away Team: Padres, Section: 309, Row: 33, Price: $69.00, Est. Price: $69.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-15-2025-phoenix-az-chase-field/events/66a1718f89fae7767613368b/listings/67e45b8fd4811782d35ce921
Date: 06-15-2025, Home Team: Dbacks, Away Team: Padres, Section: 319, Row: 32, Price: $75.00, Est. Price: $75.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-15-2025-phoenix-az-chase-field/events/66a1718f89fae7767613368b/listings/67e45b95d4811782d35d6d65
Date: 06-15-2025, Home Team: Dbacks, Away Team: Padres, Section: 320, Row: 32, Price: $75.00, Est. Price: $75.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-15-2025-phoenix-az-chase-field/events/66a1718f89fae7767613368b/listings/67e45b9ed4811782d35e4e13
Date: 06-15-2025, Home Team: Dbacks, Away Team: Padres, Section: 318, Row: 32, Price: $75.00, Est. Price: $75.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-15-2025-phoenix-az-chase-field/events/66a1718f89fae7767613368b/listings/67e45b9ed4811782d35e4b66
Date: 06-15-2025, Home Team: Dbacks, Away Team: Padres, Section: 315, Row: 32, Price: $75.00, Est. Price: $75.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-15-2025-phoenix-az-chase-field/events/66a1718f89fae7767613368b/listings/67e45b91d4811782d35d1f3c
Date: 06-15-2025, Home Team: Dbacks, Away Team: Padres, Section: 314, Row: 32, Price: $75.00, Est. Price: $75.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-15-2025-phoenix-az-chase-field/events/66a1718f89fae7767613368b/listings/67e45ba4d4811782d35ea7af
Date: 06-15-2025, Home Team: Dbacks, Away Team: Padres, Section: 313, Row: 32, Price: $75.00, Est. Price: $75.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-15-2025-phoenix-az-chase-field/events/66a1718f89fae7767613368b/listings/67e45bb6d4811782d35ff0b1
