Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 324, Row: 3, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-6-2025-phoenix-az-chase-field/events/66a171bfe6f5d70d01cdf3ff/listings/67aab4c33e2207e70bb4b2d8
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 301, Row: 32, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-6-2025-phoenix-az-chase-field/events/66a171bfe6f5d70d01cdf3ff/listings/67e45e81d4811782d3b7206d
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 331, Row: 32, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-6-2025-phoenix-az-chase-field/events/66a171bfe6f5d70d01cdf3ff/listings/67e45e5cd4811782d3b1c844
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 302, Row: 32, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-6-2025-phoenix-az-chase-field/events/66a171bfe6f5d70d01cdf3ff/listings/67e45e4fd4811782d3af9d30
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 318, Row: 9, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-6-2025-phoenix-az-chase-field/events/66a171bfe6f5d70d01cdf3ff/listings/67aab4b73e2207e70bb41452
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 324, Row: 12, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-6-2025-phoenix-az-chase-field/events/66a171bfe6f5d70d01cdf3ff/listings/67e43231d4811782d3f80c99
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 308, Row: 11, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-6-2025-phoenix-az-chase-field/events/66a171bfe6f5d70d01cdf3ff/listings/67e4322ad4811782d3f77a9b
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 325, Row: 10, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-6-2025-phoenix-az-chase-field/events/66a171bfe6f5d70d01cdf3ff/listings/67e4322fd4811782d3f7ebd5
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 305, Row: 9, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-6-2025-phoenix-az-chase-field/events/66a171bfe6f5d70d01cdf3ff/listings/67e4322ed4811782d3f7c660
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 306, Row: 12, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-6-2025-phoenix-az-chase-field/events/66a171bfe6f5d70d01cdf3ff/listings/67e4322ed4811782d3f7c3c5
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 327, Row: 10, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-6-2025-phoenix-az-chase-field/events/66a171bfe6f5d70d01cdf3ff/listings/67e43236d4811782d3f8640c
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 143, Row: 31, Price: $48.00, Est. Price: $48.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-6-2025-phoenix-az-chase-field/events/66a171bfe6f5d70d01cdf3ff/listings/6764fc78b98988f2db97f4c3
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 102, Row: 39, Price: $48.00, Est. Price: $48.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-6-2025-phoenix-az-chase-field/events/66a171bfe6f5d70d01cdf3ff/listings/6764fc78b98988f2db97e541
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 326, Row: 1, Price: $48.00, Est. Price: $48.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-6-2025-phoenix-az-chase-field/events/66a171bfe6f5d70d01cdf3ff/listings/67a682bc3e2207e70b57e509
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 137, Row: 34, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-6-2025-phoenix-az-chase-field/events/66a171bfe6f5d70d01cdf3ff/listings/67a682b03e2207e70b563db6
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 105, Row: 18, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-6-2025-phoenix-az-chase-field/events/66a171bfe6f5d70d01cdf3ff/listings/67e15d37d4811782d3eafeb6
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 102, Row: 17, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-6-2025-phoenix-az-chase-field/events/66a171bfe6f5d70d01cdf3ff/listings/67a682bd3e2207e70b580b96
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 310, Row: 3, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-6-2025-phoenix-az-chase-field/events/66a171bfe6f5d70d01cdf3ff/listings/670ea150f0923f9bcda36c59
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 308, Row: 40, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-6-2025-phoenix-az-chase-field/events/66a171bfe6f5d70d01cdf3ff/listings/67e45e58d4811782d3b11b2b
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 323, Row: 33, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-6-2025-phoenix-az-chase-field/events/66a171bfe6f5d70d01cdf3ff/listings/67e45e6ad4811782d3b46687
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 305, Row: 40, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-6-2025-phoenix-az-chase-field/events/66a171bfe6f5d70d01cdf3ff/listings/67e45e63d4811782d3b33c4c
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 111, Row: 10, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-6-2025-phoenix-az-chase-field/events/66a171bfe6f5d70d01cdf3ff/listings/677b335cb98988f2db64d72c
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 137, Row: 29, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-6-2025-phoenix-az-chase-field/events/66a171bfe6f5d70d01cdf3ff/listings/670ea145f0923f9bcda274bd
