Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 106, Row: 18, Price: $125.00, Est. Price: $125.00, URL: https://gametime.co/concert/j-balvin-tickets/5-1-2025-phoenix-az-phx-arena/events/673b6cc03b0b2234edecdf58/listings/67ebf366d4811782d3acbf65?queryId=1d990c79bd1c924e2329103e86036c62&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 111, Row: 18, Price: $125.00, Est. Price: $125.00, URL: https://gametime.co/concert/j-balvin-tickets/5-1-2025-phoenix-az-phx-arena/events/673b6cc03b0b2234edecdf58/listings/67f2dc7b0b271341d1540757?queryId=1d990c79bd1c924e2329103e86036c62&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 109, Row: 17, Price: $130.00, Est. Price: $130.00, URL: https://gametime.co/concert/j-balvin-tickets/5-1-2025-phoenix-az-phx-arena/events/673b6cc03b0b2234edecdf58/listings/67f2ecd10b271341d1e6c0cc?queryId=1d990c79bd1c924e2329103e86036c62&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 111, Row: 11, Price: $133.00, Est. Price: $133.00, URL: https://gametime.co/concert/j-balvin-tickets/5-1-2025-phoenix-az-phx-arena/events/673b6cc03b0b2234edecdf58/listings/674744f8585e58e5aa203af9?queryId=1d990c79bd1c924e2329103e86036c62&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 109, Row: 11, Price: $144.00, Est. Price: $144.00, URL: https://gametime.co/concert/j-balvin-tickets/5-1-2025-phoenix-az-phx-arena/events/673b6cc03b0b2234edecdf58/listings/67ee1d9cd4811782d3ee4180?queryId=1d990c79bd1c924e2329103e86036c62&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 112, Row: 9, Price: $146.00, Est. Price: $146.00, URL: https://gametime.co/concert/j-balvin-tickets/5-1-2025-phoenix-az-phx-arena/events/673b6cc03b0b2234edecdf58/listings/67f060f10b271341d1544a00?queryId=1d990c79bd1c924e2329103e86036c62&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 104, Row: 11, Price: $148.00, Est. Price: $148.00, URL: https://gametime.co/concert/j-balvin-tickets/5-1-2025-phoenix-az-phx-arena/events/673b6cc03b0b2234edecdf58/listings/674744fc585e58e5aa20ad92?queryId=1d990c79bd1c924e2329103e86036c62&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 110, Row: 28, Price: $148.00, Est. Price: $148.00, URL: https://gametime.co/concert/j-balvin-tickets/5-1-2025-phoenix-az-phx-arena/events/673b6cc03b0b2234edecdf58/listings/67a39552f6af5e52e49d5581?queryId=1d990c79bd1c924e2329103e86036c62&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 112, Row: 16, Price: $149.00, Est. Price: $149.00, URL: https://gametime.co/concert/j-balvin-tickets/5-1-2025-phoenix-az-phx-arena/events/673b6cc03b0b2234edecdf58/listings/67f0fd630b271341d139beeb?queryId=1d990c79bd1c924e2329103e86036c62&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 212, Row: 1, Price: $151.00, Est. Price: $151.00, URL: https://gametime.co/concert/j-balvin-tickets/5-1-2025-phoenix-az-phx-arena/events/673b6cc03b0b2234edecdf58/listings/673e0bfd585e58e5aadb364f?queryId=1d990c79bd1c924e2329103e86036c62&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
