Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 302, Row: 10, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-6-2025-phoenix-az-chase-field/events/66a17109030e7f93ea115db7/listings/67e32027d4811782d330a36e
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 300, Row: 9, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-6-2025-phoenix-az-chase-field/events/66a17109030e7f93ea115db7/listings/67e32031d4811782d331ae9b
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 304, Row: 11, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-6-2025-phoenix-az-chase-field/events/66a17109030e7f93ea115db7/listings/67e32033d4811782d331c996
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 329, Row: 12, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-6-2025-phoenix-az-chase-field/events/66a17109030e7f93ea115db7/listings/67e32035d4811782d331ecad
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 303, Row: 12, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-6-2025-phoenix-az-chase-field/events/66a17109030e7f93ea115db7/listings/67e32036d4811782d3320f9b
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 330, Row: 10, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-6-2025-phoenix-az-chase-field/events/66a17109030e7f93ea115db7/listings/67e3203dd4811782d332b7cc
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 328, Row: 12, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-6-2025-phoenix-az-chase-field/events/66a17109030e7f93ea115db7/listings/67e32044d4811782d333b33d
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 332, Row: 12, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-6-2025-phoenix-az-chase-field/events/66a17109030e7f93ea115db7/listings/67e32054d4811782d335f055
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 305, Row: 1, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-6-2025-phoenix-az-chase-field/events/66a17109030e7f93ea115db7/listings/670ea0def0923f9bcd9a75f4
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 321, Row: 2, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-6-2025-phoenix-az-chase-field/events/66a17109030e7f93ea115db7/listings/670ea0e3f0923f9bcd9ac738
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 325, Row: 1, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-6-2025-phoenix-az-chase-field/events/66a17109030e7f93ea115db7/listings/670ea0e8f0923f9bcd9b03d5
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 101, Row: 22, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-6-2025-phoenix-az-chase-field/events/66a17109030e7f93ea115db7/listings/67e15d35d4811782d3eae3f6
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 326, Row: 1, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-6-2025-phoenix-az-chase-field/events/66a17109030e7f93ea115db7/listings/67e71065d4811782d3779d65
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 307, Row: 1, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-6-2025-phoenix-az-chase-field/events/66a17109030e7f93ea115db7/listings/67e7106fd4811782d37867e7
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 107, Row: 29, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-6-2025-phoenix-az-chase-field/events/66a17109030e7f93ea115db7/listings/67e7107dd4811782d37ada3e
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 103, Row: 16, Price: $42.00, Est. Price: $42.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-6-2025-phoenix-az-chase-field/events/66a17109030e7f93ea115db7/listings/67e71074d4811782d3794adb
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 143, Row: 31, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-6-2025-phoenix-az-chase-field/events/66a17109030e7f93ea115db7/listings/6764faceb98988f2db63634f
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 142, Row: 13, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-6-2025-phoenix-az-chase-field/events/66a17109030e7f93ea115db7/listings/6786811f5f5eedb9b568e1b6
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 325, Row: 10, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-6-2025-phoenix-az-chase-field/events/66a17109030e7f93ea115db7/listings/67e32036d4811782d3320a07
