Date: 07-18-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 315, Row: 15, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-18-2025-phoenix-az-chase-field/events/66a171d3030e7f93ea115dce/listings/67e447dbd4811782d39a3dbf
Date: 07-18-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 314, Row: 13, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-18-2025-phoenix-az-chase-field/events/66a171d3030e7f93ea115dce/listings/67e4481ed4811782d3a40a5c
Date: 07-18-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 313, Row: 12, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-18-2025-phoenix-az-chase-field/events/66a171d3030e7f93ea115dce/listings/67e4482fd4811782d3a6c434
Date: 07-18-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 317, Row: 12, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-18-2025-phoenix-az-chase-field/events/66a171d3030e7f93ea115dce/listings/67e447dfd4811782d39ae596
Date: 07-18-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 310, Row: 11, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-18-2025-phoenix-az-chase-field/events/66a171d3030e7f93ea115dce/listings/67e4480ad4811782d3a0e98b
Date: 07-18-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 316, Row: 16, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-18-2025-phoenix-az-chase-field/events/66a171d3030e7f93ea115dce/listings/67e4480ed4811782d3a199c8
Date: 07-18-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 322, Row: 12, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-18-2025-phoenix-az-chase-field/events/66a171d3030e7f93ea115dce/listings/67e447dbd4811782d39a456d
Date: 07-18-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 319, Row: 12, Price: $61.00, Est. Price: $61.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-18-2025-phoenix-az-chase-field/events/66a171d3030e7f93ea115dce/listings/67e44818d4811782d3a34508
Date: 07-18-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 320, Row: 13, Price: $61.00, Est. Price: $61.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-18-2025-phoenix-az-chase-field/events/66a171d3030e7f93ea115dce/listings/67e447edd4811782d39cd476
Date: 07-18-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 318, Row: 12, Price: $61.00, Est. Price: $61.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-18-2025-phoenix-az-chase-field/events/66a171d3030e7f93ea115dce/listings/67e4482fd4811782d3a6c0cc
Date: 07-18-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 314, Row: 18, Price: $61.00, Est. Price: $61.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-18-2025-phoenix-az-chase-field/events/66a171d3030e7f93ea115dce/listings/67a683693e2207e70b62ce09
