Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 326, Row: 11, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/67e50ff7d4811782d32d1ff7
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 137, Row: 29, Price: $48.00, Est. Price: $48.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/670ea146f0923f9bcda2884a
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 111, Row: 11, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/677b335cb98988f2db64d6e4
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 142, Row: 13, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/678683f15f5eedb9b59e2ce9
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 107, Row: 28, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/67a686963e2207e70bab6162
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 105, Row: 18, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/67e15d3cd4811782d3eb47b4
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 310, Row: 3, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/670ea14cf0923f9bcda2ef98
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 319, Row: 32, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/6764fd28b98988f2dbb5fa91
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 308, Row: 40, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/67e45e81d4811782d3b72116
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 306, Row: 1, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/67a686953e2207e70bab4fab
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 305, Row: 40, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/67e45e5fd4811782d3b2894b
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 137, Row: 39, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/6764fd29b98988f2dbb621c4
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 102, Row: 39, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/6764fd29b98988f2dbb62239
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 315, Row: 32, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/6764fd2bb98988f2dbb66f19
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 108, Row: 30, Price: $51.00, Est. Price: $51.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/67a686a33e2207e70bac3b11
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 311, Row: 2, Price: $51.00, Est. Price: $51.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/67896e345f5eedb9b54afcaf
