Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 305, Row: 7, Price: $48.00, Est. Price: $48.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/67a6519a3e2207e70bceaedd
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 141, Row: 26, Price: $48.00, Est. Price: $48.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/67a651a13e2207e70bcefd69
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 310, Row: 3, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/670ea144f0923f9bcda25ef7
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 142, Row: 13, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/678683f15f5eedb9b59e2f09
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 140, Row: 26, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/67a6518b3e2207e70bcd72b3
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 105, Row: 18, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/67e15d3cd4811782d3eb4c99
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 308, Row: 40, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/67ef479a0b271341d1a12cc6
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 137, Row: 29, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/670ea149f0923f9bcda2c929
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 104, Row: 39, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/6764faceb98988f2db636440
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 315, Row: 32, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/6764fad0b98988f2db638d73
