Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 311, Row: 8, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=9016597965
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 100, Row: 1, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=8799148290
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 310, Row: 11, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=8894180951
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 321, Row: 11, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=8829679997
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 313, Row: 11, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=8829688999
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 315, Row: 9, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=8936932146
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 316, Row: 13, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=9018147288
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 318, Row: 10, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=9017904538
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 317, Row: 11, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=9018059947
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 305, Row: 40, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=9006663877
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 310, Row: 10, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=9110820571
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 320, Row: 11, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=9015100636
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 322, Row: 12, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=9111257248
