Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 209, Row: 7, Price: $59, Est. Price: $94.4, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9087708454
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 209, Row: 8, Price: $59, Est. Price: $94.4, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9087708462
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 213, Row: 8, Price: $59, Est. Price: $94.4, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9087708517
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 209, Row: 9, Price: $59, Est. Price: $94.4, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9087708466
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 213, Row: 9, Price: $59, Est. Price: $94.4, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9087708527
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 214, Row: 7, Price: $59, Est. Price: $94.4, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9087708604
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 214, Row: 9, Price: $59, Est. Price: $94.4, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9087708636
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 214, Row: 5, Price: $59, Est. Price: $94.4, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=8847709381
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 210, Row: 5, Price: $60, Est. Price: $96, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9087709323
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 213, Row: 7, Price: $60, Est. Price: $96, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9087708511
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 214, Row: 4, Price: $60, Est. Price: $96, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9087708565
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 210, Row: 6, Price: $61, Est. Price: $88.45, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9104688045
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 209, Row: 6, Price: $61, Est. Price: $88.45, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9096447513
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 210, Row: 13, Price: $61, Est. Price: $88.45, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9097002790
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 210, Row: 14, Price: $61, Est. Price: $88.45, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9096379909
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 212, Row: 12, Price: $61, Est. Price: $88.45, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9096911741
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 213, Row: 8, Price: $61, Est. Price: $88.45, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9096390385
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 213, Row: 9, Price: $61, Est. Price: $88.45, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9096666213
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 214, Row: 4, Price: $61, Est. Price: $88.45, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9097124316
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 208, Row: 12, Price: $61, Est. Price: $88.45, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9097250098
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 209, Row: 12, Price: $61, Est. Price: $88.45, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9096622416
