Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 310, Row: 15, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=8937129788
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 316, Row: 9, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=8936932555
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 140, Row: 21, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=8869969042
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 323, Row: 32, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=9010214172
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 306, Row: 40, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=9010214186
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 324, Row: 40, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=9010212597
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 305, Row: 40, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=9010212460
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 327, Row: 40, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=9010212606
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 140, Row: 13, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=9034271176
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 325, Row: 3, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=9041957201
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 309, Row: 10, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=8829729821
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 323, Row: 12, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=8833305010
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 326, Row: 9, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=8913957995
