Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 103, Row: 14, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/677b23e5b98988f2dbecd358
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 320, Row: 9, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/67896e385f5eedb9b54b774d
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 104, Row: 14, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/677b23e5b98988f2dbecd367
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 318, Row: 15, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/67a67fda3e2207e70b11a37e
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 332, Row: 12, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/67e3d253d4811782d30cfe21
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 331, Row: 6, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/67e3d279d4811782d3103d3a
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 300, Row: 10, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/67e3d25ad4811782d30db22c
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 302, Row: 10, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/67e3d276d4811782d3101542
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 328, Row: 12, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/67e3d258d4811782d30d7722
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 107, Row: 29, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/67896e275f5eedb9b549866d
