Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 222, Row: 13, Price: $71, Est. Price: $102.95, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=8842060099
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 232, Row: 14, Price: $71, Est. Price: $102.95, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=8952003671
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 212, Row: 4, Price: $72, Est. Price: $104.39999999999999, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=8842279493
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 211, Row: 13, Price: $72, Est. Price: $104.39999999999999, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=8866549799
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 211, Row: 14, Price: $72, Est. Price: $104.39999999999999, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=8866549804
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 203, Row: 10, Price: $72, Est. Price: $104.39999999999999, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=8998010671
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 212, Row: 11, Price: $72, Est. Price: $104.39999999999999, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=9096383113
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 213, Row: 14, Price: $72, Est. Price: $104.39999999999999, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=8998010555
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 205, Row: 6, Price: $72, Est. Price: $104.39999999999999, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=9107354214
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 222, Row: 7, Price: $72, Est. Price: $104.39999999999999, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=9062054966
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 207, Row: 10, Price: $72, Est. Price: $104.39999999999999, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=8848298965
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 231, Row: 10, Price: $72, Est. Price: $104.39999999999999, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=8842278454
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 203, Row: 10, Price: $73, Est. Price: $105.85, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=8998010757
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 232, Row: 12, Price: $73, Est. Price: $105.85, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=8842131936
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 205, Row: 14, Price: $73, Est. Price: $105.85, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=8998028979
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 221, Row: 10, Price: $73, Est. Price: $105.85, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=8842225381
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 215, Row: 6, Price: $74, Est. Price: $107.3, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=8847048492
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 203, Row: 10, Price: $75, Est. Price: $108.75, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=8998010756
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 215, Row: 3, Price: $75, Est. Price: $108.75, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=8837052108
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 220, Row: 14, Price: $75, Est. Price: $108.75, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=8842132095
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 231, Row: 12, Price: $75, Est. Price: $108.75, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=8848335811
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 205, Row: 14, Price: $76, Est. Price: $110.2, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=8998028919
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 204, Row: 12, Price: $76, Est. Price: $110.2, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=8998010519
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 206, Row: 10, Price: $76, Est. Price: $110.2, URL: https://www.stubhub.com/tate-mcrae-phoenix-tickets-11-4-2025/event/157342976/?quantity=2&listingId=9105141667
