Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 324, Row: 11, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=9099466585
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 325, Row: 9, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=9025222651
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 325, Row: 11, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=9113237305
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 327, Row: 23, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=9113319521
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 310, Row: 3, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=8936708982
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 102, Row: 17, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=9086527617
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 137, Row: 36, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=8937234453
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 311, Row: 2, Price: $30, Est. Price: $48.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=8936883900
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 313, Row: 1, Price: $30, Est. Price: $48.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=8725069158
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 140, Row: 11, Price: $30, Est. Price: $48.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=9023528428
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 318, Row: 7, Price: $30, Est. Price: $48.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=8937232765
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 137, Row: 29, Price: $30, Est. Price: $48.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=8937492182
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 108, Row: 28, Price: $30, Est. Price: $48.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=8936883915
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 108, Row: 33, Price: $30, Est. Price: $48.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=8937234491
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 107, Row: 26, Price: $30, Est. Price: $48.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=8936883809
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 111, Row: 6, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=8908057516
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 111, Row: 7, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=8533642346
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 143, Row: 11, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=9086527746
