Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 203, Row: 10, Price: $100.00, Est. Price: $100.00, URL: https://gametime.co/concert/tate-mc-rae-tickets/11-4-2025-phoenix-az-phx-arena/events/67b65d39cf8e14e8ff5dbbbd/listings/67c5f610dec8018c761da33c?queryId=fc82c1f914b3ad4f1ff35caf605dd4f5&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 205, Row: 6, Price: $100.00, Est. Price: $100.00, URL: https://gametime.co/concert/tate-mc-rae-tickets/11-4-2025-phoenix-az-phx-arena/events/67b65d39cf8e14e8ff5dbbbd/listings/67ef031c0b271341d19e3884?queryId=fc82c1f914b3ad4f1ff35caf605dd4f5&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 211, Row: 13, Price: $102.00, Est. Price: $102.00, URL: https://gametime.co/concert/tate-mc-rae-tickets/11-4-2025-phoenix-az-phx-arena/events/67b65d39cf8e14e8ff5dbbbd/listings/67c3665bdec8018c76ebc06d?queryId=fc82c1f914b3ad4f1ff35caf605dd4f5&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 202, Row: 7, Price: $102.00, Est. Price: $102.00, URL: https://gametime.co/concert/tate-mc-rae-tickets/11-4-2025-phoenix-az-phx-arena/events/67b65d39cf8e14e8ff5dbbbd/listings/67d8cd9adec8018c76af8ab6?queryId=fc82c1f914b3ad4f1ff35caf605dd4f5&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 219, Row: 13, Price: $105.00, Est. Price: $105.00, URL: https://gametime.co/concert/tate-mc-rae-tickets/11-4-2025-phoenix-az-phx-arena/events/67b65d39cf8e14e8ff5dbbbd/listings/67c638b6dec8018c768a9e04?queryId=fc82c1f914b3ad4f1ff35caf605dd4f5&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 206, Row: 6, Price: $105.00, Est. Price: $105.00, URL: https://gametime.co/concert/tate-mc-rae-tickets/11-4-2025-phoenix-az-phx-arena/events/67b65d39cf8e14e8ff5dbbbd/listings/67ef031c0b271341d19e3601?queryId=fc82c1f914b3ad4f1ff35caf605dd4f5&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 222, Row: 7, Price: $107.00, Est. Price: $107.00, URL: https://gametime.co/concert/tate-mc-rae-tickets/11-4-2025-phoenix-az-phx-arena/events/67b65d39cf8e14e8ff5dbbbd/listings/67e2efe2d4811782d3596592?queryId=fc82c1f914b3ad4f1ff35caf605dd4f5&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 222, Row: 12, Price: $112.00, Est. Price: $112.00, URL: https://gametime.co/concert/tate-mc-rae-tickets/11-4-2025-phoenix-az-phx-arena/events/67b65d39cf8e14e8ff5dbbbd/listings/67d81ed3dec8018c7620fde0?queryId=fc82c1f914b3ad4f1ff35caf605dd4f5&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 204, Row: 5, Price: $112.00, Est. Price: $112.00, URL: https://gametime.co/concert/tate-mc-rae-tickets/11-4-2025-phoenix-az-phx-arena/events/67b65d39cf8e14e8ff5dbbbd/listings/67ef5b4a0b271341d14e2c87?queryId=fc82c1f914b3ad4f1ff35caf605dd4f5&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 214, Row: 2, Price: $115.00, Est. Price: $115.00, URL: https://gametime.co/concert/tate-mc-rae-tickets/11-4-2025-phoenix-az-phx-arena/events/67b65d39cf8e14e8ff5dbbbd/listings/67be444c2f94efc810db3f81?queryId=fc82c1f914b3ad4f1ff35caf605dd4f5&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
