Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 300, Row: 10, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-5-2025-phoenix-az-chase-field/events/66a17108d8d60cfab6f1b751/listings/67ec5f48d4811782d3921c4f
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 305, Row: 1, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-5-2025-phoenix-az-chase-field/events/66a17108d8d60cfab6f1b751/listings/670ea142f0923f9bcda2311c
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 326, Row: 40, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-5-2025-phoenix-az-chase-field/events/66a17108d8d60cfab6f1b751/listings/6764facfb98988f2db638624
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 323, Row: 36, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-5-2025-phoenix-az-chase-field/events/66a17108d8d60cfab6f1b751/listings/6764fad0b98988f2db63a779
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 102, Row: 26, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-5-2025-phoenix-az-chase-field/events/66a17108d8d60cfab6f1b751/listings/67a8582f3e2207e70b8b62fa
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 143, Row: 31, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-5-2025-phoenix-az-chase-field/events/66a17108d8d60cfab6f1b751/listings/6764facfb98988f2db63863d
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 325, Row: 9, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-5-2025-phoenix-az-chase-field/events/66a17108d8d60cfab6f1b751/listings/67e3203bd4811782d332813d
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 327, Row: 9, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-5-2025-phoenix-az-chase-field/events/66a17108d8d60cfab6f1b751/listings/67e32040d4811782d3332991
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 308, Row: 10, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-5-2025-phoenix-az-chase-field/events/66a17108d8d60cfab6f1b751/listings/67e32056d4811782d3360df2
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 323, Row: 12, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-5-2025-phoenix-az-chase-field/events/66a17108d8d60cfab6f1b751/listings/67ec3862d4811782d3babb7f
