Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 316, Row: 16, Price: $36, Est. Price: $57.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9047725655
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 309, Row: 10, Price: $36, Est. Price: $57.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9023579327
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 309, Row: 11, Price: $36, Est. Price: $57.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9113176847
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 323, Row: 10, Price: $36, Est. Price: $57.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9023579757
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 324, Row: 9, Price: $36, Est. Price: $57.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9023579787
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 324, Row: 10, Price: $36, Est. Price: $57.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9114171021
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 324, Row: 12, Price: $36, Est. Price: $57.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9098075071
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 325, Row: 10, Price: $36, Est. Price: $57.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9114171035
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 325, Row: 12, Price: $36, Est. Price: $57.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9114171301
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 326, Row: 9, Price: $36, Est. Price: $57.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9023579979
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 326, Row: 10, Price: $36, Est. Price: $57.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9023581672
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 311, Row: 15, Price: $37, Est. Price: $59.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9108733565
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 140, Row: 11, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9022309284
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 312, Row: 14, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9047725474
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 320, Row: 9, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9108733162
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 321, Row: 9, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9108733081
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 313, Row: 15, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9047724760
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 314, Row: 15, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9108733197
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 311, Row: 14, Price: $39, Est. Price: $62.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9108733555
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 318, Row: 10, Price: $39, Est. Price: $62.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9017932262
