Date: 06-21-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 201, Row: 7, Price: $62, Est. Price: $89.89999999999999, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9100030611
Date: 06-21-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 231, Row: 11, Price: $62, Est. Price: $89.89999999999999, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9050876203
Date: 06-21-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 216, Row: 10, Price: $63, Est. Price: $91.35, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9066761073
Date: 06-21-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 225, Row: 8, Price: $63, Est. Price: $91.35, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9091269596
Date: 06-21-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 225, Row: 9, Price: $63, Est. Price: $91.35, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9114754036
Date: 06-21-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 225, Row: 13, Price: $63, Est. Price: $91.35, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9062840482
Date: 06-21-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 210, Row: 10, Price: $63, Est. Price: $91.35, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=8998439017
Date: 06-21-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 226, Row: 10, Price: $63, Est. Price: $91.35, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9121411839
Date: 06-21-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 228, Row: 13, Price: $63, Est. Price: $91.35, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9062840474
Date: 06-21-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 204, Row: 10, Price: $63, Est. Price: $91.35, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=8998416013
Date: 06-21-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 203, Row: 10, Price: $63, Est. Price: $91.35, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=8998415461
Date: 06-21-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 229, Row: 9, Price: $63, Est. Price: $91.35, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9112777920
Date: 06-21-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 229, Row: 13, Price: $63, Est. Price: $91.35, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9062840427
Date: 06-21-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 208, Row: 9, Price: $64, Est. Price: $92.8, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=8998438781
Date: 06-21-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 225, Row: 14, Price: $65, Est. Price: $94.25, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9057441949
Date: 06-21-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 226, Row: 9, Price: $65, Est. Price: $94.25, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9130094610
Date: 06-21-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 228, Row: 11, Price: $65, Est. Price: $94.25, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9128974369
