Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 136, Row: 31, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8937168547
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 300, Row: 2, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8907568182
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 331, Row: 2, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8928862180
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 303, Row: 17, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8910994088
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 331, Row: 23, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8928862108
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 332, Row: 24, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8928862217
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 332, Row: 25, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8928862278
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 133, Row: 9, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=9056378742
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 310, Row: 3, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8936709743
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 105, Row: 18, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=9034268426
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 304, Row: 10, Price: $30, Est. Price: $48.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8833305331
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 319, Row: 4, Price: $30, Est. Price: $48.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8941101412
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 102, Row: 17, Price: $30, Est. Price: $48.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8936804583
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 107, Row: 29, Price: $30, Est. Price: $48.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8936805327
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 140, Row: 11, Price: $30, Est. Price: $48.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=9032448796
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 215, Row: 4, Price: $30, Est. Price: $48.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=9034272944
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 111, Row: 7, Price: $30, Est. Price: $48.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8533642385
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 311, Row: 2, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8936884980
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 107, Row: 26, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8936884883
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 309, Row: 10, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8916248456
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 309, Row: 11, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8916248467
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 309, Row: 12, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8916248483
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 309, Row: 13, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8916248491
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 309, Row: 14, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8916248514
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 309, Row: 15, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8916248524
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 309, Row: 16, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8916248547
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 309, Row: 17, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8916248564
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 309, Row: 18, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8916248570
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 309, Row: 19, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8916248594
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 309, Row: 20, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8916248599
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 309, Row: 21, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8916248623
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 323, Row: 9, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8924654392
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 309, Row: 22, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8916248634
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 309, Row: 23, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8916248645
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 309, Row: 24, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8916248667
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 323, Row: 11, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8924654396
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 323, Row: 12, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8924654397
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 323, Row: 13, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8924654402
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 305, Row: 9, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8910994498
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 325, Row: 21, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8928860869
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 327, Row: 20, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8928861121
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 111, Row: 6, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8533642300
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 143, Row: 31, Price: $32, Est. Price: $51.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8655256302
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 143, Row: 11, Price: $32, Est. Price: $51.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8936625186
