Date: 05-27-2025, Home Team: Dbacks, Away Team: Pirates, Section: 332, Row: 12, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-27-2025-phoenix-az-chase-field/events/66a17153532195d52b9a5a20/listings/67e3203fd4811782d332f614
Date: 05-27-2025, Home Team: Dbacks, Away Team: Pirates, Section: 328, Row: 12, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-27-2025-phoenix-az-chase-field/events/66a17153532195d52b9a5a20/listings/67e32054d4811782d335e80e
Date: 05-27-2025, Home Team: Dbacks, Away Team: Pirates, Section: 300, Row: 9, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-27-2025-phoenix-az-chase-field/events/66a17153532195d52b9a5a20/listings/67e3205ad4811782d33671d5
Date: 05-27-2025, Home Team: Dbacks, Away Team: Pirates, Section: 308, Row: 1, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-27-2025-phoenix-az-chase-field/events/66a17153532195d52b9a5a20/listings/670ea102f0923f9bcd9c73df
Date: 05-27-2025, Home Team: Dbacks, Away Team: Pirates, Section: 305, Row: 1, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-27-2025-phoenix-az-chase-field/events/66a17153532195d52b9a5a20/listings/670ea108f0923f9bcd9cd8a4
Date: 05-27-2025, Home Team: Dbacks, Away Team: Pirates, Section: 137, Row: 29, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-27-2025-phoenix-az-chase-field/events/66a17153532195d52b9a5a20/listings/670ea10bf0923f9bcd9cf913
Date: 05-27-2025, Home Team: Dbacks, Away Team: Pirates, Section: 321, Row: 2, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-27-2025-phoenix-az-chase-field/events/66a17153532195d52b9a5a20/listings/670ea10df0923f9bcd9d2592
Date: 05-27-2025, Home Team: Dbacks, Away Team: Pirates, Section: 325, Row: 1, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-27-2025-phoenix-az-chase-field/events/66a17153532195d52b9a5a20/listings/670ea10df0923f9bcd9d25f9
Date: 05-27-2025, Home Team: Dbacks, Away Team: Pirates, Section: 103, Row: 17, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-27-2025-phoenix-az-chase-field/events/66a17153532195d52b9a5a20/listings/67896e275f5eedb9b549870d
Date: 05-27-2025, Home Team: Dbacks, Away Team: Pirates, Section: 329, Row: 38, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-27-2025-phoenix-az-chase-field/events/66a17153532195d52b9a5a20/listings/67ef468b0b271341d17f12b5
