Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 311, Row: 2, Price: $42.00, Est. Price: $42.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-10-2025-phoenix-az-chase-field/events/66a1717d82a078a95ab95af3/listings/67896e285f5eedb9b549a923
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 307, Row: 1, Price: $42.00, Est. Price: $42.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-10-2025-phoenix-az-chase-field/events/66a1717d82a078a95ab95af3/listings/67896e355f5eedb9b54b3570
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 142, Row: 13, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-10-2025-phoenix-az-chase-field/events/66a1717d82a078a95ab95af3/listings/678683f15f5eedb9b59e2d4c
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 325, Row: 10, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-10-2025-phoenix-az-chase-field/events/66a1717d82a078a95ab95af3/listings/67e32027d4811782d330a66e
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 323, Row: 12, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-10-2025-phoenix-az-chase-field/events/66a1717d82a078a95ab95af3/listings/67e32029d4811782d330c0ad
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 323, Row: 32, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-10-2025-phoenix-az-chase-field/events/66a1717d82a078a95ab95af3/listings/67e45b8bd4811782d35cad63
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 305, Row: 9, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-10-2025-phoenix-az-chase-field/events/66a1717d82a078a95ab95af3/listings/67e32036d4811782d3320c8d
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 306, Row: 40, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-10-2025-phoenix-az-chase-field/events/66a1717d82a078a95ab95af3/listings/67e45b9fd4811782d35e59f7
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 327, Row: 10, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-10-2025-phoenix-az-chase-field/events/66a1717d82a078a95ab95af3/listings/67e32052d4811782d335a609
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 309, Row: 11, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-10-2025-phoenix-az-chase-field/events/66a1717d82a078a95ab95af3/listings/67e32057d4811782d3362a16
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 326, Row: 40, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-10-2025-phoenix-az-chase-field/events/66a1717d82a078a95ab95af3/listings/6764fbc0b98988f2db84f111
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 136, Row: 26, Price: $44.00, Est. Price: $44.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-10-2025-phoenix-az-chase-field/events/66a1717d82a078a95ab95af3/listings/670ea100f0923f9bcd9c47d9
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 103, Row: 14, Price: $44.00, Est. Price: $44.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-10-2025-phoenix-az-chase-field/events/66a1717d82a078a95ab95af3/listings/67896e2a5f5eedb9b549dd99
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 324, Row: 12, Price: $44.00, Est. Price: $44.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-10-2025-phoenix-az-chase-field/events/66a1717d82a078a95ab95af3/listings/67e32047d4811782d3342aa9
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 308, Row: 11, Price: $44.00, Est. Price: $44.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-10-2025-phoenix-az-chase-field/events/66a1717d82a078a95ab95af3/listings/67e3202ed4811782d3315310
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 143, Row: 12, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-10-2025-phoenix-az-chase-field/events/66a1717d82a078a95ab95af3/listings/67896e785f5eedb9b5528377
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 315, Row: 1, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-10-2025-phoenix-az-chase-field/events/66a1717d82a078a95ab95af3/listings/670ea101f0923f9bcd9c6a63
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 314, Row: 1, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-10-2025-phoenix-az-chase-field/events/66a1717d82a078a95ab95af3/listings/67896e3c5f5eedb9b54bfce3
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 108, Row: 20, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-10-2025-phoenix-az-chase-field/events/66a1717d82a078a95ab95af3/listings/67896e315f5eedb9b54aae47
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 205, Row: 2, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-10-2025-phoenix-az-chase-field/events/66a1717d82a078a95ab95af3/listings/67e15d35d4811782d3eae4f9
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 319, Row: 1, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-10-2025-phoenix-az-chase-field/events/66a1717d82a078a95ab95af3/listings/670ea10ef0923f9bcd9d3263
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 217, Row: 2, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-10-2025-phoenix-az-chase-field/events/66a1717d82a078a95ab95af3/listings/67e15d38d4811782d3eb196f
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 111, Row: 11, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-10-2025-phoenix-az-chase-field/events/66a1717d82a078a95ab95af3/listings/6704d8a21a2fe25904777749
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 318, Row: 11, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-10-2025-phoenix-az-chase-field/events/66a1717d82a078a95ab95af3/listings/67e3203fd4811782d332f435
