Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 434, Row: 11, Price: $81, Est. Price: $117.45, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=8939414448
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 444, Row: 22, Price: $81, Est. Price: $117.45, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=9101824025
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 413, Row: 11, Price: $82, Est. Price: $118.89999999999999, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=8988635091
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 444, Row: 12, Price: $82, Est. Price: $118.89999999999999, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=8732575979
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 416, Row: 20, Price: $82, Est. Price: $118.89999999999999, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=8873098685
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 417, Row: 13, Price: $83, Est. Price: $120.35, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=8719081407
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 416, Row: 9, Price: $83, Est. Price: $120.35, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=9106817962
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 420, Row: 6, Price: $83, Est. Price: $120.35, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=9092192566
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 419, Row: 9, Price: $83, Est. Price: $120.35, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=9106817973
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 436, Row: 6, Price: $83, Est. Price: $120.35, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=8970056918
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 444, Row: 11, Price: $84, Est. Price: $121.8, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=8730683853
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 414, Row: 14, Price: $84, Est. Price: $121.8, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=8942395325
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 435, Row: 13, Price: $84, Est. Price: $121.8, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=8836752117
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 414, Row: 13, Price: $85, Est. Price: $123.25, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=9032312095
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 440, Row: 13, Price: $85, Est. Price: $123.25, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=8731630852
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 421, Row: 3, Price: $85, Est. Price: $123.25, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=8847695045
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 448, Row: 9, Price: $86, Est. Price: $124.7, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=8857696995
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 423, Row: 7, Price: $86, Est. Price: $124.7, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=9081814987
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 433, Row: 10, Price: $86, Est. Price: $124.7, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=8752649671
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 413, Row: 7, Price: $87, Est. Price: $126.14999999999999, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=9106994861
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 409, Row: 9, Price: $87, Est. Price: $126.14999999999999, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=8837779696
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 444, Row: 9, Price: $87, Est. Price: $126.14999999999999, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=8837779719
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 446, Row: 8, Price: $87, Est. Price: $126.14999999999999, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=8916345187
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 410, Row: 10, Price: $87, Est. Price: $126.14999999999999, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=9124662281
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 446, Row: 10, Price: $87, Est. Price: $126.14999999999999, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=8837779709
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 438, Row: 7, Price: $87, Est. Price: $126.14999999999999, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=9012807865
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 434, Row: 2, Price: $87, Est. Price: $126.14999999999999, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=8930160808
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 423, Row: 4, Price: $87, Est. Price: $126.14999999999999, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=8732017768
