Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 137, Row: 29, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/6-30-2025-phoenix-az-chase-field/events/66a171b5030e7f93ea115dc9/listings/670ea146f0923f9bcda28869
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 319, Row: 9, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/6-30-2025-phoenix-az-chase-field/events/66a171b5030e7f93ea115dc9/listings/67a67fe33e2207e70b12dda7
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 313, Row: 8, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/6-30-2025-phoenix-az-chase-field/events/66a171b5030e7f93ea115dc9/listings/67896e345f5eedb9b54b1c86
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 301, Row: 32, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/6-30-2025-phoenix-az-chase-field/events/66a171b5030e7f93ea115dc9/listings/67e45e4ed4811782d3af5066
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 331, Row: 32, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/6-30-2025-phoenix-az-chase-field/events/66a171b5030e7f93ea115dc9/listings/67e45e8ed4811782d3b8ce91
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 330, Row: 32, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/6-30-2025-phoenix-az-chase-field/events/66a171b5030e7f93ea115dc9/listings/67e45e67d4811782d3b3d40f
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 302, Row: 32, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/6-30-2025-phoenix-az-chase-field/events/66a171b5030e7f93ea115dc9/listings/67e45e59d4811782d3b16902
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 103, Row: 24, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/6-30-2025-phoenix-az-chase-field/events/66a171b5030e7f93ea115dc9/listings/67a67fe73e2207e70b135229
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 318, Row: 9, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/6-30-2025-phoenix-az-chase-field/events/66a171b5030e7f93ea115dc9/listings/67a67ff13e2207e70b13e431
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 324, Row: 10, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/6-30-2025-phoenix-az-chase-field/events/66a171b5030e7f93ea115dc9/listings/67e3d6ddd4811782d377639c
