Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 309, Row: 10, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8846634609
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 327, Row: 9, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8829741122
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 133, Row: 3, Price: $39, Est. Price: $62.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8024663386
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 140, Row: 11, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=9032448863
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 300, Row: 2, Price: $39, Est. Price: $62.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8892110913
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 306, Row: 40, Price: $39, Est. Price: $62.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=9006104655
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 324, Row: 40, Price: $39, Est. Price: $62.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=9006099413
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 305, Row: 40, Price: $39, Est. Price: $62.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=9006099008
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 326, Row: 40, Price: $39, Est. Price: $62.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=9006104714
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 300, Row: 10, Price: $39, Est. Price: $62.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8892110744
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 300, Row: 11, Price: $39, Est. Price: $62.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8892110758
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 300, Row: 12, Price: $39, Est. Price: $62.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8892110774
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 300, Row: 13, Price: $39, Est. Price: $62.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8892110780
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 300, Row: 14, Price: $39, Est. Price: $62.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8892110791
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 300, Row: 15, Price: $39, Est. Price: $62.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8892110800
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 300, Row: 16, Price: $39, Est. Price: $62.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8892110811
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 300, Row: 17, Price: $39, Est. Price: $62.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8892110822
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 300, Row: 18, Price: $39, Est. Price: $62.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8892110847
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 300, Row: 19, Price: $39, Est. Price: $62.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8892110883
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 300, Row: 20, Price: $39, Est. Price: $62.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8892110936
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 300, Row: 21, Price: $39, Est. Price: $62.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8892110962
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 300, Row: 22, Price: $39, Est. Price: $62.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8894452281
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 300, Row: 32, Price: $39, Est. Price: $62.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8892110730
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 332, Row: 24, Price: $39, Est. Price: $62.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8907655211
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 312, Row: 17, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8941101640
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 310, Row: 11, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8894180924
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 308, Row: 9, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8829773666
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 324, Row: 9, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8829918399
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 326, Row: 9, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8829844365
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 111, Row: 11, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8793329409
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 318, Row: 9, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8936805907
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 108, Row: 30, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8936802126
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 306, Row: 10, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8878969576
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 306, Row: 11, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8878969581
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 306, Row: 12, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8878969589
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 306, Row: 13, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8878969596
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 306, Row: 14, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8878969615
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 306, Row: 15, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8878969628
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 306, Row: 16, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8878969640
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 306, Row: 17, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8878969655
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 306, Row: 18, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8878969668
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 305, Row: 9, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8894452694
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 306, Row: 19, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8878969692
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 306, Row: 20, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8878969702
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 305, Row: 11, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8894452698
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 306, Row: 21, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8878969710
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 306, Row: 22, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8878969720
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 306, Row: 23, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8878969739
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 305, Row: 12, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8894452701
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 306, Row: 24, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8878969767
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 305, Row: 13, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-20-2025/event/154663905/?quantity=2&listingId=8878969369
