Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 319, Row: 9, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-30-2025-phoenix-az-chase-field/events/66a1715b7a8b3ce2b5a976d3/listings/670ea14af0923f9bcda2d5b5
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 140, Row: 39, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-30-2025-phoenix-az-chase-field/events/66a1715b7a8b3ce2b5a976d3/listings/6764fbc3b98988f2db8551e2
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 310, Row: 32, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-30-2025-phoenix-az-chase-field/events/66a1715b7a8b3ce2b5a976d3/listings/6764fbc5b98988f2db8581ab
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 144, Row: 11, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-30-2025-phoenix-az-chase-field/events/66a1715b7a8b3ce2b5a976d3/listings/677b23e5b98988f2dbecd3a6
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 103, Row: 17, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-30-2025-phoenix-az-chase-field/events/66a1715b7a8b3ce2b5a976d3/listings/67896e315f5eedb9b54aae0d
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 318, Row: 9, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-30-2025-phoenix-az-chase-field/events/66a1715b7a8b3ce2b5a976d3/listings/67a67a4c3e2207e70b703f32
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 105, Row: 18, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-30-2025-phoenix-az-chase-field/events/66a1715b7a8b3ce2b5a976d3/listings/67e15d3cd4811782d3eb49b7
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 141, Row: 31, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-30-2025-phoenix-az-chase-field/events/66a1715b7a8b3ce2b5a976d3/listings/67eb6c23d4811782d32b6626
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 308, Row: 2, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-30-2025-phoenix-az-chase-field/events/66a1715b7a8b3ce2b5a976d3/listings/67ecbb68d4811782d3b69204
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 300, Row: 29, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-30-2025-phoenix-az-chase-field/events/66a1715b7a8b3ce2b5a976d3/listings/67ef46050b271341d16d01ee
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 330, Row: 32, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-30-2025-phoenix-az-chase-field/events/66a1715b7a8b3ce2b5a976d3/listings/67ef46880b271341d17e9692
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 331, Row: 32, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-30-2025-phoenix-az-chase-field/events/66a1715b7a8b3ce2b5a976d3/listings/67ef47230b271341d1929f7e
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 301, Row: 32, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-30-2025-phoenix-az-chase-field/events/66a1715b7a8b3ce2b5a976d3/listings/67ef48640b271341d1b780f6
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 332, Row: 30, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-30-2025-phoenix-az-chase-field/events/66a1715b7a8b3ce2b5a976d3/listings/67ef48670b271341d1b7cb06
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 305, Row: 9, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-30-2025-phoenix-az-chase-field/events/66a1715b7a8b3ce2b5a976d3/listings/67e32024d4811782d3304438
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 308, Row: 11, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-30-2025-phoenix-az-chase-field/events/66a1715b7a8b3ce2b5a976d3/listings/67e32042d4811782d3337c2f
