Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 300, Row: 10, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8892123377
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 303, Row: 20, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8894466627
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 303, Row: 21, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8894466635
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 329, Row: 11, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8913968146
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 329, Row: 12, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8913968170
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 300, Row: 11, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8892123380
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 303, Row: 24, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8894466644
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 329, Row: 13, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8913968173
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 300, Row: 12, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8892123385
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 303, Row: 25, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8894466650
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 303, Row: 26, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8894466666
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 329, Row: 14, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8913968200
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 300, Row: 13, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8892123387
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 329, Row: 15, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8913968210
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 300, Row: 14, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8892123390
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 329, Row: 16, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8913968240
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 300, Row: 15, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8892123392
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 329, Row: 17, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8913968251
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 329, Row: 18, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8913968265
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 300, Row: 16, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8892123395
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 329, Row: 19, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8913968282
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 300, Row: 17, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8892123398
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 300, Row: 18, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8892123401
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 300, Row: 19, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8892123404
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 332, Row: 11, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8916631548
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 300, Row: 20, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8892123411
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 332, Row: 12, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8916631553
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 300, Row: 21, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8892123413
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 300, Row: 22, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8892123417
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 332, Row: 13, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8916631567
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 332, Row: 14, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8916631574
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 332, Row: 15, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8916631577
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 332, Row: 16, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8916631587
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 332, Row: 17, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8916631592
