Date: 07-04-2025, Home Team: Dbacks, Away Team: Royals, Section: 316, Row: 17, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-4-2025-phoenix-az-chase-field/events/66a171bb47d07f0c7229d228/listings/67e428c8d4811782d3ddb630
Date: 07-04-2025, Home Team: Dbacks, Away Team: Royals, Section: 322, Row: 12, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-4-2025-phoenix-az-chase-field/events/66a171bb47d07f0c7229d228/listings/67e428c7d4811782d3dd90f0
Date: 07-04-2025, Home Team: Dbacks, Away Team: Royals, Section: 319, Row: 13, Price: $67.00, Est. Price: $67.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-4-2025-phoenix-az-chase-field/events/66a171bb47d07f0c7229d228/listings/67e428c1d4811782d3dcf015
Date: 07-04-2025, Home Team: Dbacks, Away Team: Royals, Section: 320, Row: 13, Price: $67.00, Est. Price: $67.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-4-2025-phoenix-az-chase-field/events/66a171bb47d07f0c7229d228/listings/67e428c7d4811782d3dd91ea
Date: 07-04-2025, Home Team: Dbacks, Away Team: Royals, Section: 318, Row: 12, Price: $67.00, Est. Price: $67.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-4-2025-phoenix-az-chase-field/events/66a171bb47d07f0c7229d228/listings/67e428c5d4811782d3dd672d
Date: 07-04-2025, Home Team: Dbacks, Away Team: Royals, Section: 314, Row: 13, Price: $67.00, Est. Price: $67.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-4-2025-phoenix-az-chase-field/events/66a171bb47d07f0c7229d228/listings/67e428c1d4811782d3dcef77
Date: 07-04-2025, Home Team: Dbacks, Away Team: Royals, Section: 332, Row: 30, Price: $67.00, Est. Price: $67.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-4-2025-phoenix-az-chase-field/events/66a171bb47d07f0c7229d228/listings/67e45e6fd4811782d3b545e9
Date: 07-04-2025, Home Team: Dbacks, Away Team: Royals, Section: 301, Row: 32, Price: $67.00, Est. Price: $67.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-4-2025-phoenix-az-chase-field/events/66a171bb47d07f0c7229d228/listings/67eab258d4811782d3001411
Date: 07-04-2025, Home Team: Dbacks, Away Team: Royals, Section: 331, Row: 32, Price: $67.00, Est. Price: $67.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-4-2025-phoenix-az-chase-field/events/66a171bb47d07f0c7229d228/listings/67eab274d4811782d303d25f
Date: 07-04-2025, Home Team: Dbacks, Away Team: Royals, Section: 330, Row: 32, Price: $67.00, Est. Price: $67.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-4-2025-phoenix-az-chase-field/events/66a171bb47d07f0c7229d228/listings/67eab269d4811782d3028cd4
