Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 138, Row: 37, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/67e3202cd4811782d3312647
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 144, Row: 16, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/67edbd9cd4811782d36aac49
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 106, Row: 32, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/67e32024d4811782d33043d4
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 107, Row: 30, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/67e32042d4811782d333828b
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 137, Row: 37, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/67e3203dd4811782d332b548
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 141, Row: 25, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/67e32024d4811782d3304a75
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 136, Row: 39, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/67e32025d4811782d3306811
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 108, Row: 37, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/67edf4d8d4811782d3d8834c
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 103, Row: 27, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/67e32047d4811782d33432f1
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 105, Row: 25, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/67e32029d4811782d330d075
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 102, Row: 29, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/67e32030d4811782d3317b07
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 101, Row: 25, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/67e5d9e0d4811782d3158d47
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 104, Row: 24, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/67eac437d4811782d30a1bca
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 143, Row: 25, Price: $72.00, Est. Price: $72.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/67e58e63d4811782d36c658e
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 142, Row: 28, Price: $72.00, Est. Price: $72.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/67e32030d4811782d3317f51
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 139, Row: 32, Price: $72.00, Est. Price: $72.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/67ecc321d4811782d380b14d
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 144, Row: 11, Price: $74.00, Est. Price: $74.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/67b4f4fe2f94efc81031d206
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 103, Row: 14, Price: $74.00, Est. Price: $74.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/67b4f5352f94efc810372715
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 217, Row: 2, Price: $76.00, Est. Price: $76.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/67e15d34d4811782d3eac83a
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 102, Row: 19, Price: $78.00, Est. Price: $78.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/670ea1aff0923f9bcdac27bb
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 111, Row: 11, Price: $81.00, Est. Price: $81.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/67b4f8182f94efc810877a15
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 139, Row: 17, Price: $81.00, Est. Price: $81.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/670ea1b4f0923f9bcdaca5e5
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 310, Row: 3, Price: $81.00, Est. Price: $81.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/670ea1b1f0923f9bcdac52a8
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 143, Row: 30, Price: $82.00, Est. Price: $82.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/67e45b95d4811782d35d6cca
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 142, Row: 38, Price: $82.00, Est. Price: $82.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/67e45b92d4811782d35d39d1
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 106, Row: 39, Price: $82.00, Est. Price: $82.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/67e45b85d4811782d35c011c
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 107, Row: 38, Price: $82.00, Est. Price: $82.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/67e45b8fd4811782d35ce8df
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 140, Row: 39, Price: $82.00, Est. Price: $82.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/67e45b86d4811782d35c2e98
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 105, Row: 18, Price: $82.00, Est. Price: $82.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/67e15d3cd4811782d3eb4500
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 101, Row: 30, Price: $82.00, Est. Price: $82.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/67e45bacd4811782d35f3f7e
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 104, Row: 37, Price: $82.00, Est. Price: $82.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/67e45bb6d4811782d35fe45e
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 133, Row: 9, Price: $83.00, Est. Price: $83.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/67b4f84b2f94efc8108aeba8
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 311, Row: 2, Price: $85.00, Est. Price: $85.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/67896e745f5eedb9b551f833
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 137, Row: 29, Price: $86.00, Est. Price: $86.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/670ea1b7f0923f9bcdad09ae
