Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 420, Row: 13, Price: $106.00, Est. Price: $106.00, URL: https://gametime.co/concert/the-weeknd-tickets/5-9-2025-glendale-az-state-farm-stadium/events/679cf8bf4ad7d7bb9ca5242b/listings/67ad41c23e2207e70b1f3968?queryId=7eb61c2387e6cd7575115a9b510c6e97&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 443, Row: 7, Price: $107.00, Est. Price: $107.00, URL: https://gametime.co/concert/the-weeknd-tickets/5-9-2025-glendale-az-state-farm-stadium/events/679cf8bf4ad7d7bb9ca5242b/listings/67def25bd4811782d30873d6?queryId=7eb61c2387e6cd7575115a9b510c6e97&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 447, Row: 14, Price: $108.00, Est. Price: $108.00, URL: https://gametime.co/concert/the-weeknd-tickets/5-9-2025-glendale-az-state-farm-stadium/events/679cf8bf4ad7d7bb9ca5242b/listings/67be631c2f94efc810a41a74?queryId=7eb61c2387e6cd7575115a9b510c6e97&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 415, Row: 14, Price: $108.00, Est. Price: $108.00, URL: https://gametime.co/concert/the-weeknd-tickets/5-9-2025-glendale-az-state-farm-stadium/events/679cf8bf4ad7d7bb9ca5242b/listings/67f148d70b271341d17fd611?queryId=7eb61c2387e6cd7575115a9b510c6e97&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 442, Row: 14, Price: $108.00, Est. Price: $108.00, URL: https://gametime.co/concert/the-weeknd-tickets/5-9-2025-glendale-az-state-farm-stadium/events/679cf8bf4ad7d7bb9ca5242b/listings/67f20f210b271341d183ec86?queryId=7eb61c2387e6cd7575115a9b510c6e97&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 442, Row: 8, Price: $109.00, Est. Price: $109.00, URL: https://gametime.co/concert/the-weeknd-tickets/5-9-2025-glendale-az-state-farm-stadium/events/679cf8bf4ad7d7bb9ca5242b/listings/67a3a7a3f6af5e52e495800d?queryId=7eb61c2387e6cd7575115a9b510c6e97&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 446, Row: 11, Price: $109.00, Est. Price: $109.00, URL: https://gametime.co/concert/the-weeknd-tickets/5-9-2025-glendale-az-state-farm-stadium/events/679cf8bf4ad7d7bb9ca5242b/listings/67a3b1e9f6af5e52e4901646?queryId=7eb61c2387e6cd7575115a9b510c6e97&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 411, Row: 13, Price: $109.00, Est. Price: $109.00, URL: https://gametime.co/concert/the-weeknd-tickets/5-9-2025-glendale-az-state-farm-stadium/events/679cf8bf4ad7d7bb9ca5242b/listings/67c202e2dec8018c761f355c?queryId=7eb61c2387e6cd7575115a9b510c6e97&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 409, Row: 10, Price: $110.00, Est. Price: $110.00, URL: https://gametime.co/concert/the-weeknd-tickets/5-9-2025-glendale-az-state-farm-stadium/events/679cf8bf4ad7d7bb9ca5242b/listings/67a60e393e2207e70b6356bd?queryId=7eb61c2387e6cd7575115a9b510c6e97&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 439, Row: 13, Price: $111.00, Est. Price: $111.00, URL: https://gametime.co/concert/the-weeknd-tickets/5-9-2025-glendale-az-state-farm-stadium/events/679cf8bf4ad7d7bb9ca5242b/listings/67a3a662f6af5e52e47a74b6?queryId=7eb61c2387e6cd7575115a9b510c6e97&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
